Name	Major_Name	Marker	Queried_Name	Queried_Major_Name
BC5A	BC	Sox6	BC5A	BC
BC5B	BC	Cabp5	BC5B	BC
BC5B	BC	Chrm2	BC5B	BC
BC5B	BC	Hcn1	BC5B	BC
BC5C	BC	Slitrk5	BC5C	BC
BC5D	BC	Kcng4	BC5D	BC
BC5D	BC	Lrrtm1	BC5D	BC
BC6	BC	Cck	BC6	BC
BC6	BC	Cnmd	BC6	BC
BC6 AXON TERMINAL	BC	Syt2		BC
BC7	BC	Igfn1	BC7	BC
BC8	BC	Serpini1	BC8	BC
BC9	BC	Cpne9	BC9	BC
BC9	BC	Serpini1	BC9	BC
CONE BC	BC	Scgn		BC
ON BC BUT NOT 5D	BC	Grm6		BC
ON BCS (3-6, 13, 15) (6,7, 5A/B/C, 3A	BC	Isl1		BC
RBC	BC	Car8	RBC	BC
RBC	BC	Casp7	RBC	BC
RBC	BC	Prkca	RBC	BC
RBC	BC	Rpa1	RBC	BC
RBC	BC	Sebox	RBC	BC
RBC	BC	Spock3	RBC	BC
RBC	BC	Vstm2b	RBC	BC
UNASSIGNED_BC	BC	Otx2	BC	BC
UNASSIGNED_BC	BC	Slc1a2	BC	BC
UNASSIGNED_BC	BC	Vsx2	BC	BC
CONE	CONE	Arr3	PHOTORECEPTOR	CONE
ENDOTHELIAL	ENDOTHELIAL	Cldn5	OTHER	ENDOTHELIAL
ENDOTHELIAL	ENDOTHELIAL	Ly6c1	OTHER	ENDOTHELIAL
ENDOTHELIAL	ENDOTHELIAL	Pecam1	OTHER	ENDOTHELIAL
ENDOTHELIAL	ENDOTHELIAL	Rbpms	OTHER	ENDOTHELIAL
CILIARY EPITHELIUM	EPITHELIAL	Gpx3		
CILIARY EPITHELIUM	EPITHELIAL	Penk		
CONJUNCTIVAL EPITHELIUM	EPITHELIAL	Gsto1		
CONJUNCTIVAL EPITHELIUM	EPITHELIAL	Krt15		
HC	HC	Lhx1	HC	HC
HC	HC	Onecut1	HC	HC
HC	HC	Pax6	HC	HC
B CELL	IMMUNE	Cd79a		
B CELL	IMMUNE	Ms4a1		
BAM	IMMUNE	Lyz2		
BAM	IMMUNE	Ms4a7		
DENDRITIC CELL	IMMUNE	Ccr2		
DENDRITIC CELL	IMMUNE	Cd209a		
DENDRITIC CELL	IMMUNE	Cd74		
DENDRITIC CELL	IMMUNE	Lsp1		
EAR2+ MONOCYTE	IMMUNE	Ace		
EAR2+ MONOCYTE	IMMUNE	Ear2		
MACROPHAGE	IMMUNE	Ms4a7		
MACROPHAGE	IMMUNE	Tgfbi		
MONOCYTE	IMMUNE	Ccr2		
MONOCYTE	IMMUNE	Cd209a		
MONOCYTE	IMMUNE	Ms4a6c		
MONOCYTE	IMMUNE	Ms4a7		
MONOCYTE	IMMUNE	Tgfbi		
NEUTROPHIL	IMMUNE	Retnlg		
NEUTROPHIL	IMMUNE	S100a9		
NEUTROPHIL	IMMUNE	Slpi		
NEUTROPHIL	IMMUNE	Srgn		
PLASMA B CELL	IMMUNE	Igha		
PLASMA B CELL	IMMUNE	Jchain		
SCLERAL FIBROBLAST	IMMUNE	Dcn		
SCLERAL FIBROBLAST	IMMUNE	Igfbp5		
T CELL	IMMUNE	Cd3d		
T CELL	IMMUNE	Trbc2		
T/NK CELL	IMMUNE	Nkg7		
T/NK CELL	IMMUNE	Trbc2		
IFN-RESPONSE MG	MG	Bst2		MG
IFN-RESPONSE MG	MG	Ifit3		MG
IFN-RESPONSE MG	MG	Isg15		MG
IFN-RESPONSE MG	MG	Oasl2		MG
MG	MG	Aqp4	GLIAL CELL	MG
MG	MG	Glul	GLIAL CELL	MG
MG	MG	Pax6	GLIAL CELL	MG
MG	MG	Rlbp1	GLIAL CELL	MG
MG	MG	Slc1a3	GLIAL CELL	MG
REACTIVE MG	MG	Gfap		MG
REACTIVE MG	MG	Mt2		MG
REACTIVE MG	MG	Vim		MG
CYCLING_MICROGLIA	MICROGLIA	Ccnb2	Microglia(cycling)	MICROGLIA
CYCLING_MICROGLIA	MICROGLIA	Mki67	Microglia(cycling)	MICROGLIA
CYCLING_MICROGLIA	MICROGLIA	Top2a	Microglia(cycling)	MICROGLIA
MICROGLIA	MICROGLIA	Cd74	GLIAL CELL	MICROGLIA
MICROGLIA	MICROGLIA	Irf7	GLIAL CELL	MICROGLIA
MICROGLIA	MICROGLIA	Isg15	GLIAL CELL	MICROGLIA
MICROGLIA	MICROGLIA	P2ry12	GLIAL CELL	MICROGLIA
MICROGLIA	MICROGLIA	Ptprc	GLIAL CELL	MICROGLIA
MICROGLIA	MICROGLIA	Tmem119	GLIAL CELL	MICROGLIA
MELANOCYTE	MONOCYTE	Mlana		
MELANOCYTE	MONOCYTE	Serpina3n		
PERICYTE	PERICYTE	Acta2	OTHER	PERICYTE
PERICYTE	PERICYTE	Mgp	OTHER	PERICYTE
PERICYTE	PERICYTE	Pdgfrb	OTHER	PERICYTE
PERICYTE	PERICYTE	Rbpms	OTHER	PERICYTE
PERICYTE	PERICYTE	Rgs5	OTHER	PERICYTE
ALPHA-RGC	RGC	Calb1		RGC
ALPHA-RGC	RGC	Opn4		RGC
ALPHA-RGC	RGC	Pou4f1		RGC
ALPHA-RGC	RGC	Pou4f3		RGC
ALPHA-RGC	RGC	Spp1		RGC
ALPHAOFF-S	RGC	Fes	42_AlphaOFFS	RGC
ALPHAOFF-S	RGC	Spp1	42_AlphaOFFS	RGC
ALPHAOFF-T	RGC	Pou4f3	45_AlphaOFFT	RGC
ALPHAOFF-T	RGC	Spp1	45_AlphaOFFT	RGC
ALPHAOFF-T	RGC	Tpbg	45_AlphaOFFT	RGC
ALPHAON-S	RGC	Calb1	43_AlphaONS	RGC
ALPHAON-S	RGC	Il1rapl2	43_AlphaONS	RGC
ALPHAON-S	RGC	Opn4	43_AlphaONS	RGC
ALPHAON-S	RGC	Spp1	43_AlphaONS	RGC
ALPHAON-T	RGC	Kit	41_AlphaONT	RGC
ALPHAON-T	RGC	Spp1	41_AlphaONT	RGC
D-OODSGC	RGC	Calb1		RGC
D-OODSGC	RGC	Cartpt		RGC
D-OODSGC	RGC	Col25a1		RGC
F-MIDI-OFF	RGC	Cdk15	28_FmidiOFF	RGC
F-MIDI-OFF	RGC	Foxp2	28_FmidiOFF	RGC
F-MIDI-ON	RGC	Anxa3	38_FmidiON	RGC
F-MIDI-ON	RGC	Foxp2	38_FmidiON	RGC
F-MINI-OFF	RGC	Pde1a	4_FminiOFF	RGC
F-MINI-ON	RGC	Foxp2	3_FminiON	RGC
F-MINI-ON	RGC	Irx4	3_FminiON	RGC
F-NOVEL	RGC	Coch	32_F_Novel	RGC
F-NOVEL	RGC	Prdm8	32_F_Novel	RGC
F-NOVEL	RGC	Rhox5	32_F_Novel	RGC
F-RGC	RGC	Ebf3		RGC
F-RGC	RGC	Foxp1		RGC
F-RGC	RGC	Foxp2		RGC
F-RGC	RGC	Pou4f1		RGC
F-RGC	RGC	Pou4f2		RGC
