Name	Major_Name	Marker	Ensembl	Major_Coefficient	Minor_Coefficient	Queried	Queried_Name	Queried_Marker	Queried_Major_Name	Parent_Name
MICROGLIA	Microglia	Ly86	Ly86	0.128052062434697		Queried	Microglia	Ly86	Microglia	
MICROGLIA	Microglia	Selenop	Selenop	0.14002950301254		Queried	Microglia	Selenop	Microglia	
MICROGLIA	Microglia	Tmsb4x	Tmsb4x	0.267195672793976		Queried	Microglia	Tmsb4x	Microglia	
MICROGLIA	Microglia	Trem2	Trem2	0.130532708119512		Queried	Microglia	Trem2	Microglia	
PERICYTE	Pericyte	Atp1a2	Atp1a2	0.150455951628523		Queried	Pericyte	Atp1a2	Pericyte	
PERICYTE	Pericyte	Cald1	Cald1	0.254680063650811		Queried	Pericyte	Cald1	Pericyte	
PERICYTE	Pericyte	Crip1	Crip1	0.131218570320981		Queried	Pericyte	Crip1	Pericyte	
PERICYTE	Pericyte	Dlc1	Dlc1	0.175639956467438		Queried	Pericyte	Dlc1	Pericyte	
PERICYTE	Pericyte	Mgp	Mgp	0.231164020159613		Queried	Pericyte	Mgp	Pericyte	
PERICYTE	Pericyte	Myl9	Myl9	0.28164003578711		Queried	Pericyte	Myl9	Pericyte	
PERICYTE	Pericyte	Ndufa4l2	Ndufa4l2	0.156539153528197		Queried	Pericyte	Ndufa4l2	Pericyte	
PERICYTE	Pericyte	Pde3a	Pde3a	0.145543045704469		Queried	Pericyte	Pde3a	Pericyte	
PERICYTE	Pericyte	Pdgfrb	Pdgfrb	0.127625641968144		Queried	Pericyte	Pdgfrb	Pericyte	
PERICYTE	Pericyte	Plcl1	Plcl1	0.162685858832458		Queried	Pericyte	Plcl1	Pericyte	
PERICYTE	Pericyte	Rgs5	Rgs5	0.312614436611409		Queried	Pericyte	Rgs5	Pericyte	
PERICYTE	Pericyte	Sparcl1	Sparcl1	0.159849747813778		Queried	Pericyte	Sparcl1	Pericyte	
RGC	RGC	Galntl6	Galntl6	0.666481533936804		Queried	RGC	Galntl6	RGC	
RGC	RGC	Gngt1	Gngt1	0.687083008982144		Queried	RGC	Gngt1	RGC	
RGC	RGC	Hmgn1	Hmgn1	0.526244930043985		Queried	RGC	Hmgn1	RGC	
RGC	RGC	Il1rapl1	Il1rapl1	0.478193147248311		Queried	RGC	Il1rapl1	RGC	
RGC	RGC	Kcnd2	Kcnd2	0.537694756914797		Queried	RGC	Kcnd2	RGC	
RGC	RGC	Kctd16	Kctd16	0.626358027988088		Queried	RGC	Kctd16	RGC	
RGC	RGC	Nrn1	Nrn1	0.479246348298218		Queried	RGC	Nrn1	RGC	
RGC	RGC	Rbfox1	Rbfox1	0.521082676814662		Queried	RGC	Rbfox1	RGC	
RGC	RGC	Rbpms	Rbpms	0.999984022126286		Queried	RGC	Rbpms	RGC	
RGC	RGC	Stmn2	Stmn2	0.474929801992591		Queried	RGC	Stmn2	RGC	
RGC	RGC	Thy1	Thy1	0.695474786986026		Queried	RGC	Thy1	RGC	
RPE	RPE	Col8a1	Col8a1	0.103592213818699		Queried	RPE	Col8a1	RPE	
RPE	RPE	Ctsd	Ctsd	0.102914233735877		Queried	RPE	Ctsd	RPE	
RPE	RPE	Mt3	Mt3	0.0987818233030022		Queried	RPE	Mt3	RPE	
RPE	RPE	Rbp1	Rbp1	0.217961878184998		Queried	RPE	Rbp1	RPE	
RPE	RPE	Rdh5	Rdh5	0.195425318339315		Queried	RPE	Rdh5	RPE	
RPE	RPE	Rgr	Rgr	0.236068520877296		Queried	RPE	Rgr	RPE	
RPE	RPE	Rpe65	Rpe65	0.356951836539473		Queried	RPE	Rpe65	RPE	
RPE	RPE	Slc16a1	Slc16a1	0.165308132593619		Queried	RPE	Slc16a1	RPE	
RPE	RPE	Slc16a8	Slc16a8	0.158149005483075		Queried	RPE	Slc16a8	RPE	
RPE	RPE	Timp3	Timp3	0.104484466905294		Queried	RPE	Timp3	RPE	
RPE	RPE	Trf	Trf	0.253655117612161		Queried	RPE	Trf	RPE	
ROD	Rod	Calb2	Calb2	0.32474911832824		Queried	Rod	Calb2	Rod	
ROD	Rod	Cartpt	Cartpt	0.366767729909274		Queried	Rod	Cartpt	Rod	
ROD	Rod	Cmss1	Cmss1	0.544044706940829		Queried	Rod	Cmss1	Rod	
ROD	Rod	Dmd	Dmd	0.270123564397596		Queried	Rod	Dmd	Rod	
ROD	Rod	Epb41	Epb41	0.272485042438658		Queried	Rod	Epb41	Rod	
ROD	Rod	Marchf1	Marchf1	0.420851551484006		Queried	Rod	Marchf1	Rod	
ROD	Rod	Nefl	Nefl	0.368924506229174		Queried	Rod	Nefl	Rod	
ROD	Rod	Pde6g	Pde6g	0.260567413581468		Queried	Rod	Pde6g	Rod	
ROD	Rod	Rho	Rho	0.538663718511697		Queried	Rod	Rho	Rod	
ROD	Rod	Rp1	Rp1	0.272508413498042		Queried	Rod	Rp1	Rod	
ROD	Rod	Sag	Sag	0.348940721731081		Queried	Rod	Sag	Rod	
AC10	AC	Cacnb2	Cacnb2		0.260017015855185	Queried	AC_10	Cacnb2	AC	
