Marker,Name,Major_Coefficient,Parent_Name,Minor_Coefficient,Queried,Queried_Marker,Queried_Name,Queried_Parent_Name
Trem2,MICROGLIA,0.130532708119512,MICROGLIA,,Queried,Trem2,Microglia,Microglia
Ctsz,MICROGLIA,0.134626531806563,MICROGLIA,,Queried,Ctsz,Microglia,Microglia
Selenop,MICROGLIA,0.14002950301254,MICROGLIA,,Queried,Selenop,Microglia,Microglia
Laptm5,MICROGLIA,0.151279925857432,MICROGLIA,,Queried,Laptm5,Microglia,Microglia
Ly86,MICROGLIA,0.128052062434697,MICROGLIA,,Queried,Ly86,Microglia,Microglia
Ctss,MICROGLIA,0.328744365767676,MICROGLIA,,Queried,Ctss,Microglia,Microglia
Tmsb4x,MICROGLIA,0.267195672793976,MICROGLIA,,Queried,Tmsb4x,Microglia,Microglia
Dlc1,PERICYTE,0.175639956467438,PERICYTE,,Queried,Dlc1,Pericyte,Pericyte
Ebf1,PERICYTE,0.130967323165322,PERICYTE,,Queried,Ebf1,Pericyte,Pericyte
Mylk,PERICYTE,0.141510352320621,PERICYTE,,Queried,Mylk,Pericyte,Pericyte
Crip1,PERICYTE,0.131218570320981,PERICYTE,,Queried,Crip1,Pericyte,Pericyte
Rgs5,PERICYTE,0.312614436611409,PERICYTE,,Queried,Rgs5,Pericyte,Pericyte
Sparcl1,PERICYTE,0.159849747813778,PERICYTE,,Queried,Sparcl1,Pericyte,Pericyte
Cald1,PERICYTE,0.254680063650811,PERICYTE,,Queried,Cald1,Pericyte,Pericyte
Rbms3,PERICYTE,0.129424336975511,PERICYTE,,Queried,Rbms3,Pericyte,Pericyte
Ndufa4l2,PERICYTE,0.156539153528197,PERICYTE,,Queried,Ndufa4l2,Pericyte,Pericyte
Pde3a,PERICYTE,0.145543045704469,PERICYTE,,Queried,Pde3a,Pericyte,Pericyte
Myl9,PERICYTE,0.28164003578711,PERICYTE,,Queried,Myl9,Pericyte,Pericyte
Mgp,PERICYTE,0.231164020159613,PERICYTE,,Queried,Mgp,Pericyte,Pericyte
Mfge8,PERICYTE,0.192589002597461,PERICYTE,,Queried,Mfge8,Pericyte,Pericyte
Vtn,PERICYTE,0.214868429416916,PERICYTE,,Queried,Vtn,Pericyte,Pericyte
Pdgfrb,PERICYTE,0.127625641968144,PERICYTE,,Queried,Pdgfrb,Pericyte,Pericyte
Plcl1,PERICYTE,0.162685858832458,PERICYTE,,Queried,Plcl1,Pericyte,Pericyte
Igfbp7,PERICYTE,0.261271525838181,PERICYTE,,Queried,Igfbp7,Pericyte,Pericyte
Atp1a2,PERICYTE,0.150455951628523,PERICYTE,,Queried,Atp1a2,Pericyte,Pericyte
Gngt1,RGC,0.687083008982144,RGC,,Queried,Gngt1,RGC,RGC
Thy1,RGC,0.695474786986026,RGC,,Queried,Thy1,RGC,RGC
Nefm,RGC,0.479863611422507,RGC,,Queried,Nefm,RGC,RGC
