Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Ebf1,AC,AC_10,ENSMUSG00000057098,Ebf1,0.2829246486408003
Sox5,AC,AC_10,ENSMUSG00000041540,Sox5,0.322558312343795
Nckap5,AC,AC_10,ENSMUSG00000049690,Nckap5,0.5795163999438424
Kcnh7,AC,AC_10,ENSMUSG00000059742,Kcnh7,0.3207411978603118
Kcnip4,AC,AC_10,ENSMUSG00000029088,Kcnip4,0.5137325216020042
Kirrel3,AC,AC_10,ENSMUSG00000032036,Kirrel3,0.5038245541316397
Grik2,AC,AC_10,ENSMUSG00000056073,Grik2,0.8155575871328026
Pcp4,AC,AC_11,ENSMUSG00000090223,Pcp4,0.2438647094471318
Chrm3,AC,AC_11,ENSMUSG00000046159,Chrm3,0.184124271398806
Rph3a,AC,AC_11,ENSMUSG00000029608,Rph3a,0.2177245218403947
C1ql2,AC,AC_11,ENSMUSG00000036907,C1ql2,0.1947626791929939
Ptprm,AC,AC_11,ENSMUSG00000033278,Ptprm,0.176749828167828
Pde3a,AC,AC_11,ENSMUSG00000041741,Pde3a,0.2035176305487819
C1ql1,AC,AC_11,ENSMUSG00000045532,C1ql1,0.2364994435907152
Pbx1,AC,AC_11,ENSMUSG00000052534,Pbx1,0.2922906218153326
Grid2,AC,AC_11,ENSMUSG00000071424,Grid2,0.392010775145766
Pcdh15,AC,AC_11,ENSMUSG00000052613,Pcdh15,0.2275427117713435
Alk,AC,AC_11,ENSMUSG00000055471,Alk,0.177869971879835
Pantr1,AC,AC_11,ENSMUSG00000060424,Pantr1,0.2232894582429805
Tfap2b,AC,AC_11,ENSMUSG00000025927,Tfap2b,0.2041479968222348
Mgat4c,AC,AC_11,ENSMUSG00000019888,Mgat4c,0.2513481230830321
Lrrc4c,AC,AC_11,ENSMUSG00000050587,Lrrc4c,0.2254801021340442
Nrg1_ENSMUSG00000062991,AC,AC_11,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.1918485693881131
Kcnd2,AC,AC_11,ENSMUSG00000060882,Kcnd2,0.2538511486134624
Pcdh7,AC,AC_12,ENSMUSG00000029108,Pcdh7,0.4198860699701815
Lamp5,AC,AC_12,ENSMUSG00000027270,Lamp5,0.2252580249737616
Kctd8,AC,AC_12,ENSMUSG00000037653,Kctd8,0.1665903712445965
Slit2,AC,AC_12,ENSMUSG00000031558,Slit2,0.1730472421164859
Rbms3,AC,AC_12,ENSMUSG00000039607,Rbms3,0.3139333422360515
Slc24a3,AC,AC_12,ENSMUSG00000063873,Slc24a3,0.2807462880580885
Rgs6,AC,AC_12,ENSMUSG00000021219,Rgs6,0.2898625259903417
Gas7,AC,AC_12,ENSMUSG00000033066,Gas7,0.2569313783378195
Glra3,AC,AC_12,ENSMUSG00000038257,Glra3,0.3566514294024417
Cdh22,AC,AC_12,ENSMUSG00000053166,Cdh22,0.2392062894519813
Gabra1,AC,AC_12,ENSMUSG00000010803,Gabra1,0.3876423935312847
Ldhb,AC,AC_12,ENSMUSG00000030246,Ldhb,0.1928248060835362
Ebf1,AC,AC_12,ENSMUSG00000057098,Ebf1,0.1579519784898012
Ly6h,AC,AC_12,ENSMUSG00000022577,Ly6h,0.2501423620892259
Ptprd,AC,AC_12,ENSMUSG00000028399,Ptprd,0.2368037838574105
Cntn4,AC,AC_12,ENSMUSG00000064293,Cntn4,0.2161959169918053
Ptgds,AC,AC_12,ENSMUSG00000015090,Ptgds,0.308712785832023
Ntm,AC,AC_12,ENSMUSG00000059974,Ntm,0.2258402892177937
Pcp4,AC,AC_13,ENSMUSG00000090223,Pcp4,0.2867576894785326
Gpc6,AC,AC_13,ENSMUSG00000058571,Gpc6,0.2774083953488833
Car3,AC,AC_13,ENSMUSG00000027559,Car3,0.2417461908646557
Otx2os1,AC,AC_13,ENSMUSG00000098682,Otx2os1,0.2272883387806065
Itm2b,AC,AC_13,ENSMUSG00000022108,Itm2b,0.3335647058798659
Gabra2,AC,AC_13,ENSMUSG00000000560,Gabra2,0.2737811980440423
Pcdh7,AC,AC_13,ENSMUSG00000029108,Pcdh7,0.4458796210963358
Cntn5,AC,AC_13,ENSMUSG00000039488,Cntn5,0.3051003243377926
Celf2,AC,AC_13,ENSMUSG00000002107,Celf2,0.2974529847124609
Chga,AC,AC_13,ENSMUSG00000021194,Chga,0.2628412916713631
Nxph1,AC,AC_13,ENSMUSG00000046178,Nxph1,0.6156656048699435
Pde1c,AC,AC_13,ENSMUSG00000004347,Pde1c,0.3153773137359796
Grin2a,AC,AC_13,ENSMUSG00000059003,Grin2a,0.303299901376846
Thsd7a,AC,AC_13,ENSMUSG00000032625,Thsd7a,0.3336087480603903
Sorcs1,AC,AC_13,ENSMUSG00000043531,Sorcs1,0.2897402735852687
Slc24a3,AC,AC_13,ENSMUSG00000063873,Slc24a3,0.2693957618592276
Slc17a8,AC,AC_13,ENSMUSG00000019935,Slc17a8,0.5684939491034919
Camk2n1,AC,AC_13,ENSMUSG00000046447,Camk2n1,0.278379217967477
A930001A20Rik,AC,AC_13,ENSMUSG00000098008,A930001A20Rik,0.4517626960967561
Shisa8,AC,AC_14,ENSMUSG00000096883,Shisa8,0.3127637866736512
Oxr1,AC,AC_14,ENSMUSG00000022307,Oxr1,0.3681124828714456
Meis2,AC,AC_14,ENSMUSG00000027210,Meis2,0.4044276421569981
Ptprt,AC,AC_14,ENSMUSG00000053141,Ptprt,0.3532849402443391
Frmd5,AC,AC_14,ENSMUSG00000027238,Frmd5,0.5591313739356816
Ralyl,AC,AC_14,ENSMUSG00000039717,Ralyl,0.3645926754719165
Ctnnd2,AC,AC_14,ENSMUSG00000022240,Ctnnd2,0.5311597408439489
Tafa1,AC,AC_14,ENSMUSG00000059187,Tafa1,0.4466698363195363
Grik1,AC,AC_14,ENSMUSG00000022935,Grik1,0.8065476165920176
Dmd,AC,AC_14,ENSMUSG00000045103,Dmd,0.4934392792432748
Car8,AC,AC_14,ENSMUSG00000041261,Car8,0.3311139281231188
Tfap2b,AC,AC_14,ENSMUSG00000025927,Tfap2b,0.6833090110514525
Six3,AC,AC_14,ENSMUSG00000038805,Six3,0.4074690027114964
Cbln2,AC,AC_14,ENSMUSG00000024647,Cbln2,0.7596490399377833
Tenm3,AC,AC_14,ENSMUSG00000031561,Tenm3,0.4018980831128724
Il1rapl2,AC,AC_15,ENSMUSG00000059203,Il1rapl2,0.3019107502620887
Hs6st3,AC,AC_15,ENSMUSG00000053465,Hs6st3,0.2139140885813763
Alk,AC,AC_15,ENSMUSG00000055471,Alk,0.3068507913591834
Nnat,AC,AC_15,ENSMUSG00000067786,Nnat,0.2739937514688031
Nrxn2,AC,AC_15,ENSMUSG00000033768,Nrxn2,0.2853737119709669
Grid2,AC,AC_15,ENSMUSG00000071424,Grid2,0.2737890452740172
Tmsb4x,AC,AC_15,ENSMUSG00000049775,Tmsb4x,0.3502604585365095
Kcnip4,AC,AC_15,ENSMUSG00000029088,Kcnip4,0.3127342165594818
Ebf1,AC,AC_15,ENSMUSG00000057098,Ebf1,0.2340942793156059
Ptprt,AC,AC_15,ENSMUSG00000053141,Ptprt,0.2191454592044874
Cacna2d3,AC,AC_15,ENSMUSG00000021991,Cacna2d3,0.2971742447403511
Lamp5,AC,AC_15,ENSMUSG00000027270,Lamp5,0.2503954327591748
Grik1,AC,AC_15,ENSMUSG00000022935,Grik1,0.2775180896433406
Nlgn1,AC,AC_15,ENSMUSG00000063887,Nlgn1,0.2192292165045048
Cntnap5a,AC,AC_15,ENSMUSG00000070695,Cntnap5a,0.2103047427653518
