Cell,Subclass,Ensembl,Gene,Coefficient
RGC,15_Novel,ENSMUSG00000021680,Crhbp,1.1937037712604799
RGC,15_Novel,ENSMUSG00000070695,Cntnap5a,0.9951994421169532
RGC,15_Novel,ENSMUSG00000034755,Pcdh11x,0.9525679253983235
RGC,15_Novel,ENSMUSG00000049775,Tmsb4x,0.8393960701143818
RGC,15_Novel,ENSMUSG00000056296,Synpr,0.8172174643517173
RGC,15_Novel,ENSMUSG00000079042,Apela,0.7885273697608702
RGC,15_Novel,ENSMUSG00000053310,Nrgn,0.7183086169722838
RGC,15_Novel,ENSMUSG00000032036,Kirrel3,0.6872077879703157
RGC,15_Novel,ENSMUSG00000047907,Tshz2,0.6786446882614714
RGC,15_Novel,ENSMUSG00000059003,Grin2a,0.645954363934205
RGC,15_Novel,ENSMUSG00000057098,Ebf1,0.6054160225187522
RGC,15_Novel,ENSMUSG00000035299,Mid1,0.5942998177532299
RGC,15_Novel,ENSMUSG00000031561,Tenm3,0.5717239183841107
RGC,15_Novel,ENSMUSG00000032564,Cpne4,0.5422427145049575
RGC,15_Novel,ENSMUSG00000014846,Tppp3,0.5247604021881795
RGC,15_Novel,ENSMUSG00000050965,Prkca,0.5041200702836528
RGC,15_Novel,ENSMUSG00000024008,Cpne5,0.5030693231560861
RGC,15_Novel,ENSMUSG00000039257,Vstm2b,0.4791550184586407
RGC,15_Novel,ENSMUSG00000031613,Hpgd,0.4673993839252143
RGC,15_Novel,ENSMUSG00000090223,Pcp4,-1.1952607675014668
RGC,15_Novel,ENSMUSG00000019888,Mgat4c,-1.091450659088005
RGC,15_Novel,ENSMUSG00000059857,Ntng1,-1.0112798849426543
RGC,15_Novel,ENSMUSG00000022311,Csmd3,-0.9233223855003093
RGC,15_Novel,ENSMUSG00000045083,Lingo2,-0.8392057433119601
RGC,15_Novel,ENSMUSG00000060924,Csmd1,-0.7576274560390883
RGC,15_Novel,ENSMUSG00000064293,Cntn4,-0.7395478437318195
RGC,15_Novel,ENSMUSG00000026527,Rgs7,-0.7120766675586852
RGC,15_Novel,ENSMUSG00000063887,Nlgn1,-0.6992364488695313
RGC,15_Novel,ENSMUSG00000060882,Kcnd2,-0.6485062128587485
RGC,15_Novel,ENSMUSG00000055409,Nell1,-0.6455432435061751
RGC,15_Novel,ENSMUSG00000039539,Sgcz,-0.6452184861377966
RGC,15_Novel,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,-0.6234355960421603
RGC,15_Novel,ENSMUSG00000055421,Pcdh9,-0.6140779214869698
RGC,15_Novel,ENSMUSG00000115783,Bc1,-0.6027771874394258
RGC,15_Novel,ENSMUSG00000027350,Chgb,-0.5860543219507177
RGC,15_Novel,ENSMUSG00000016150,Tenm1,-0.5838314051461391
RGC,15_Novel,ENSMUSG00000091537,Tma7,-0.5786623936551848
RGC,15_Novel,ENSMUSG00000108532,Gm32647,-0.5773427546736081
RGC,15_Novel,ENSMUSG00000050272,Dscam,-0.5680959829999599
RGC,16_ooDS_DV,ENSMUSG00000021647,Cartpt,1.7652414130359704
RGC,16_ooDS_DV,ENSMUSG00000078591,Hs3st4,1.1299216858277419
RGC,16_ooDS_DV,ENSMUSG00000058897,Col25a1,1.062346326569801
RGC,16_ooDS_DV,ENSMUSG00000039385,Cdh6,1.0374510317632752
RGC,16_ooDS_DV,ENSMUSG00000034755,Pcdh11x,0.8541952774272488
RGC,16_ooDS_DV,ENSMUSG00000021680,Crhbp,0.7584958315178886
RGC,16_ooDS_DV,ENSMUSG00000039488,Cntn5,0.6658409863868394
RGC,16_ooDS_DV,ENSMUSG00000090223,Pcp4,0.6424369872882034
RGC,16_ooDS_DV,ENSMUSG00000038530,Rgs4,0.6231010062099105
RGC,16_ooDS_DV,ENSMUSG00000025867,Cplx2,0.6130720892004088
RGC,16_ooDS_DV,ENSMUSG00000059187,Tafa1,0.6006442397049165
RGC,16_ooDS_DV,ENSMUSG00000039717,Ralyl,0.5660210440800495
RGC,16_ooDS_DV,ENSMUSG00000039114,Nrn1,0.5362204525794108
RGC,16_ooDS_DV,ENSMUSG00000050711,Scg2,0.49474764425886714
RGC,16_ooDS_DV,ENSMUSG00000064293,Cntn4,0.4899011848243763
RGC,16_ooDS_DV,ENSMUSG00000049336,Tenm2,0.46077164323128117
RGC,16_ooDS_DV,ENSMUSG00000062257,Opcml,0.4486029263968271
RGC,16_ooDS_DV,ENSMUSG00000017390,Aldoc,0.4430212871023154
RGC,16_ooDS_DV,ENSMUSG00000057098,Ebf1,0.4007546968308528
RGC,16_ooDS_DV,ENSMUSG00000108532,Gm32647,0.3969379134236139
RGC,16_ooDS_DV,ENSMUSG00000028832,Stmn1,-0.7883734171041429
RGC,16_ooDS_DV,ENSMUSG00000019888,Mgat4c,-0.7726989495996872
RGC,16_ooDS_DV,ENSMUSG00000074968,Ano3,-0.7455361563327536
RGC,16_ooDS_DV,ENSMUSG00000032011,Thy1,-0.689506126404087
RGC,16_ooDS_DV,ENSMUSG00000026163,Sphkap,-0.6578756865240143
RGC,16_ooDS_DV,ENSMUSG00000036815,Dpp10,-0.6243728507660914
RGC,16_ooDS_DV,ENSMUSG00000037653,Kctd8,-0.61116000454074
RGC,16_ooDS_DV,ENSMUSG00000008348,Ubc,-0.582521296863459
RGC,16_ooDS_DV,ENSMUSG00000022762,Ncam2,-0.5805638019411397
RGC,16_ooDS_DV,ENSMUSG00000060882,Kcnd2,-0.5795419646025491
RGC,16_ooDS_DV,ENSMUSG00000092094,Zfp804b,-0.5690920638660631
RGC,16_ooDS_DV,ENSMUSG00000063887,Nlgn1,-0.541173544056121
RGC,16_ooDS_DV,ENSMUSG00000079523,Tmsb10,-0.49900386530848234
RGC,16_ooDS_DV,ENSMUSG00000022636,Alcam,-0.4823938231849527
RGC,16_ooDS_DV,ENSMUSG00000055421,Pcdh9,-0.4777698041511122
RGC,16_ooDS_DV,ENSMUSG00000053141,Ptprt,-0.4577777789315142
RGC,16_ooDS_DV,ENSMUSG00000059742,Kcnh7,-0.4375142415037537
