Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Ebf1,RGC,15_Novel,ENSMUSG00000057098,Ebf1,0.5362123157384242
Kirrel3,RGC,15_Novel,ENSMUSG00000032036,Kirrel3,0.890240264662658
Synpr,RGC,15_Novel,ENSMUSG00000056296,Synpr,0.5190611222714789
Tenm3,RGC,15_Novel,ENSMUSG00000031561,Tenm3,0.4459420063098097
Tenm2,RGC,16_ooDS_DV,ENSMUSG00000049336,Tenm2,0.3651980524798581
Cntn4,RGC,16_ooDS_DV,ENSMUSG00000064293,Cntn4,0.3783718187843095
Scg2,RGC,16_ooDS_DV,ENSMUSG00000050711,Scg2,0.6873574549680179
Nrsn1,RGC,16_ooDS_DV,ENSMUSG00000048978,Nrsn1,0.3680128091870614
Nrn1,RGC,16_ooDS_DV,ENSMUSG00000039114,Nrn1,0.3782030672326401
Cntn5,RGC,16_ooDS_DV,ENSMUSG00000039488,Cntn5,0.539281506828696
Tafa1,RGC,16_ooDS_DV,ENSMUSG00000059187,Tafa1,0.5613687494093919
Pcdh11x,RGC,16_ooDS_DV,ENSMUSG00000034755,Pcdh11x,0.7022066493202628
Ralyl,RGC,16_ooDS_DV,ENSMUSG00000039717,Ralyl,0.5491457627529939
Scn1b,RGC,16_ooDS_DV,ENSMUSG00000019194,Scn1b,0.3543099128987738
Opcml,RGC,16_ooDS_DV,ENSMUSG00000062257,Opcml,0.4107209898681026
Hs3st4,RGC,16_ooDS_DV,ENSMUSG00000078591,Hs3st4,0.8592143326285842
Cdh6,RGC,16_ooDS_DV,ENSMUSG00000039385,Cdh6,0.8274594902949268
Pcp4,RGC,16_ooDS_DV,ENSMUSG00000090223,Pcp4,0.8648834609717128
Cplx2,RGC,16_ooDS_DV,ENSMUSG00000025867,Cplx2,0.5004367261051534
Rgs4,RGC,16_ooDS_DV,ENSMUSG00000038530,Rgs4,0.5203689649411168
Crhbp,RGC,16_ooDS_DV,ENSMUSG00000021680,Crhbp,0.5076997439290447
Cartpt,RGC,16_ooDS_DV,ENSMUSG00000021647,Cartpt,1.9112746343615432
Crhbp,RGC,17_Tbr1_S1,ENSMUSG00000021680,Crhbp,0.5658174141794422
Csmd1,RGC,17_Tbr1_S1,ENSMUSG00000060924,Csmd1,0.5009706759490983
Pou6f2,RGC,17_Tbr1_S1,ENSMUSG00000009734,Pou6f2,0.513500884601591
Fabp5,RGC,17_Tbr1_S1,ENSMUSG00000027533,Fabp5,0.5450242599043713
Pcp4,RGC,17_Tbr1_S1,ENSMUSG00000090223,Pcp4,0.9719925596459326
Lrrc4c,RGC,17_Tbr1_S1,ENSMUSG00000050587,Lrrc4c,1.059118781583354
Ctxn3,RGC,17_Tbr1_S1,ENSMUSG00000069372,Ctxn3,0.7401540444915641
Ntng1,RGC,17_Tbr1_S1,ENSMUSG00000059857,Ntng1,0.8694243214159747
Hs3st4,RGC,17_Tbr1_S1,ENSMUSG00000078591,Hs3st4,0.8205409546504093
Dcc,RGC,17_Tbr1_S1,ENSMUSG00000060534,Dcc,0.5686281794330419
Nrg1_ENSMUSG00000062991,RGC,17_Tbr1_S1,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.6756110898819777
Inpp4b,RGC,17_Tbr1_S1,ENSMUSG00000037940,Inpp4b,0.7875898136099624
Nrgn,RGC,17_Tbr1_S1,ENSMUSG00000053310,Nrgn,1.2336340496297766
Meis2,RGC,17_Tbr1_S1,ENSMUSG00000027210,Meis2,1.2804728207814484
Cntnap5a,RGC,17_Tbr1_S1,ENSMUSG00000070695,Cntnap5a,0.7088864786003952
Rprm,RGC,17_Tbr1_S1,ENSMUSG00000075334,Rprm,0.6631294790583839
Cdh18,RGC,17_Tbr1_S1,ENSMUSG00000040420,Cdh18,0.4798907202901119
Rgs4,RGC,17_Tbr1_S1,ENSMUSG00000038530,Rgs4,0.4862692774646269
Kirrel3,RGC,17_Tbr1_S1,ENSMUSG00000032036,Kirrel3,0.5996815628817226
