Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Pcp4,RGC,16_ooDS_DV,ENSMUSG00000090223,Pcp4,0.6424369872882034
Cntn4,RGC,16_ooDS_DV,ENSMUSG00000064293,Cntn4,0.4899011848243763
Pcdh11x,RGC,16_ooDS_DV,ENSMUSG00000034755,Pcdh11x,0.8541952774272488
Ralyl,RGC,16_ooDS_DV,ENSMUSG00000039717,Ralyl,0.5660210440800495
Cdh6,RGC,16_ooDS_DV,ENSMUSG00000039385,Cdh6,1.0374510317632752
Cartpt,RGC,16_ooDS_DV,ENSMUSG00000021647,Cartpt,1.7652414130359704
Opcml,RGC,16_ooDS_DV,ENSMUSG00000062257,Opcml,0.4486029263968271
Cntn5,RGC,16_ooDS_DV,ENSMUSG00000039488,Cntn5,0.6658409863868394
Lrrc4c,RGC,17_Tbr1_S1,ENSMUSG00000050587,Lrrc4c,1.1930277156867684
Cdh18,RGC,17_Tbr1_S1,ENSMUSG00000040420,Cdh18,0.6451828932806769
Inpp4b,RGC,17_Tbr1_S1,ENSMUSG00000037940,Inpp4b,0.7476904730204001
Unc5c,RGC,17_Tbr1_S1,ENSMUSG00000059921,Unc5c,0.5692930348306191
Hs3st4,RGC,17_Tbr1_S1,ENSMUSG00000078591,Hs3st4,1.0955197506982062
Meis2,RGC,17_Tbr1_S1,ENSMUSG00000027210,Meis2,1.5679575995242632
Pou6f2,RGC,17_Tbr1_S1,ENSMUSG00000009734,Pou6f2,0.6985518254992655
Pcp4,RGC,17_Tbr1_S1,ENSMUSG00000090223,Pcp4,0.9367517609320392
Ctxn3,RGC,17_Tbr1_S1,ENSMUSG00000069372,Ctxn3,1.0397701399997614
Ptn,RGC,17_Tbr1_S1,ENSMUSG00000029838,Ptn,0.5479193952949674
Tenm3,RGC,17_Tbr1_S1,ENSMUSG00000031561,Tenm3,0.6294055557733628
Ntng1,RGC,17_Tbr1_S1,ENSMUSG00000059857,Ntng1,1.02842383297761
Nrg1_ENSMUSG00000062991,RGC,17_Tbr1_S1,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.5743908405279542
Nrgn,RGC,17_Tbr1_S1,ENSMUSG00000053310,Nrgn,1.6358115911167372
Rprm,RGC,17_Tbr1_S1,ENSMUSG00000075334,Rprm,0.7425629830146017
Cntnap5a,RGC,17_Tbr1_S1,ENSMUSG00000070695,Cntnap5a,0.9021794948056392
Crhbp,RGC,17_Tbr1_S1,ENSMUSG00000021680,Crhbp,0.6125373000885905
Rgs4,RGC,17_Tbr1_S1,ENSMUSG00000038530,Rgs4,0.609293277441375
Csmd3,RGC,18_Novel,ENSMUSG00000022311,Csmd3,0.5802158573431648
Sphkap,RGC,18_Novel,ENSMUSG00000026163,Sphkap,0.7022097409928015
Lrrtm4,RGC,18_Novel,ENSMUSG00000052581,Lrrtm4,1.0862197409627914
Cdh8,RGC,18_Novel,ENSMUSG00000036510,Cdh8,0.5102563127808964
Grin2a,RGC,18_Novel,ENSMUSG00000059003,Grin2a,1.1720524623848494
Pcdh17,RGC,18_Novel,ENSMUSG00000035566,Pcdh17,0.7983833929580151
Gabrb1,RGC,18_Novel,ENSMUSG00000029212,Gabrb1,0.6923916034682722
Pcdh11x,RGC,18_Novel,ENSMUSG00000034755,Pcdh11x,0.6533067577801948
Dkk3,RGC,18_Novel,ENSMUSG00000030772,Dkk3,0.6289033871715829
Pou6f2,RGC,18_Novel,ENSMUSG00000009734,Pou6f2,0.9263884639814942
Spon1,RGC,18_Novel,ENSMUSG00000038156,Spon1,0.8405324418895724
Cdh18,RGC,18_Novel,ENSMUSG00000040420,Cdh18,1.6168242467290104
Aldoc,RGC,18_Novel,ENSMUSG00000017390,Aldoc,0.864224693918185
Stmn1,RGC,19_Novel,ENSMUSG00000028832,Stmn1,0.6241126772322707
Lrrc4c,RGC,19_Novel,ENSMUSG00000050587,Lrrc4c,0.9537818907966864
Hs6st3,RGC,19_Novel,ENSMUSG00000053465,Hs6st3,1.00466691311763
Unc13c,RGC,19_Novel,ENSMUSG00000062151,Unc13c,0.6088673872784347
Schip1,RGC,19_Novel,ENSMUSG00000027777,Schip1,0.9668916278569336
Tenm1,RGC,19_Novel,ENSMUSG00000016150,Tenm1,0.8806129430667745
Sorcs1,RGC,19_Novel,ENSMUSG00000043531,Sorcs1,0.5955028514950247
Tafa1,RGC,19_Novel,ENSMUSG00000059187,Tafa1,0.964046574953502
Penk,RGC,19_Novel,ENSMUSG00000045573,Penk,0.6966234025261394
Alcam,RGC,19_Novel,ENSMUSG00000022636,Alcam,0.7092437573872936
Nell1,RGC,19_Novel,ENSMUSG00000055409,Nell1,0.9387171276577432
Dach1,RGC,19_Novel,ENSMUSG00000055639,Dach1,0.673150131314921
Mast4,RGC,19_Novel,ENSMUSG00000034751,Mast4,0.6032427108803512
Fstl5,RGC,19_Novel,ENSMUSG00000034098,Fstl5,0.7765197627188658
Mt3,RGC,19_Novel,ENSMUSG00000031760,Mt3,0.572375279477163
Ncam2,RGC,1_W3D1.1,ENSMUSG00000022762,Ncam2,1.0640465352424882
Pcdh10,RGC,1_W3D1.1,ENSMUSG00000049100,Pcdh10,0.9715470287369288
Pex5l,RGC,1_W3D1.1,ENSMUSG00000027674,Pex5l,0.7812475534133492
Alcam,RGC,1_W3D1.1,ENSMUSG00000022636,Alcam,0.670368233352743
Sgcz,RGC,1_W3D1.1,ENSMUSG00000039539,Sgcz,0.962619181868221
Inpp4b,RGC,20_Novel,ENSMUSG00000037940,Inpp4b,0.5695157852591086
Pcdh9,RGC,20_Novel,ENSMUSG00000055421,Pcdh9,1.0973050793526349
Penk,RGC,20_Novel,ENSMUSG00000045573,Penk,1.3281196634480132
Meis2,RGC,20_Novel,ENSMUSG00000027210,Meis2,1.3933410107646669
Gm32647,RGC,20_Novel,ENSMUSG00000108532,Gm32647,0.6933205585026224
Robo1,RGC,20_Novel,ENSMUSG00000022883,Robo1,0.5421166887292397
Hcn1,RGC,20_Novel,ENSMUSG00000021730,Hcn1,0.6063380684917616
Resp18,RGC,20_Novel,ENSMUSG00000033061,Resp18,0.55475886953957
Gpc6,RGC,20_Novel,ENSMUSG00000058571,Gpc6,0.6989249239684194
Tshz2,RGC,20_Novel,ENSMUSG00000047907,Tshz2,0.5638944145889628
Cntn5,RGC,20_Novel,ENSMUSG00000039488,Cntn5,0.6523781154983136
Sgcz,RGC,21_Tbr1_S2,ENSMUSG00000039539,Sgcz,0.7332405835006776
Gabrg3,RGC,21_Tbr1_S2,ENSMUSG00000055026,Gabrg3,0.5361430455478425
Lrrc4c,RGC,21_Tbr1_S2,ENSMUSG00000050587,Lrrc4c,1.7123950463623605
Tafa2,RGC,21_Tbr1_S2,ENSMUSG00000044071,Tafa2,0.508040080792865
Nrgn,RGC,21_Tbr1_S2,ENSMUSG00000053310,Nrgn,0.7063459299265868
Cntn5,RGC,21_Tbr1_S2,ENSMUSG00000039488,Cntn5,0.7149280792129437
Nlgn1,RGC,21_Tbr1_S2,ENSMUSG00000063887,Nlgn1,0.8153536110727211
Rgs4,RGC,21_Tbr1_S2,ENSMUSG00000038530,Rgs4,0.7479140914013598
Mast4,RGC,21_Tbr1_S2,ENSMUSG00000034751,Mast4,0.5308732780262776
Pcp4,RGC,21_Tbr1_S2,ENSMUSG00000090223,Pcp4,0.7255134321924093
Ntng1,RGC,21_Tbr1_S2,ENSMUSG00000059857,Ntng1,0.6800668023279756
Tshz2,RGC,21_Tbr1_S2,ENSMUSG00000047907,Tshz2,0.7897185779371728
Asic2,RGC,21_Tbr1_S2,ENSMUSG00000020704,Asic2,0.8455619453430401
Khdrbs2,RGC,21_Tbr1_S2,ENSMUSG00000026058,Khdrbs2,0.5794140393048419
Gpc5,RGC,22_M5,ENSMUSG00000022112,Gpc5,1.1063461732725397
Reln,RGC,22_M5,ENSMUSG00000042453,Reln,0.5249979522283766
Sgcd,RGC,22_M5,ENSMUSG00000020354,Sgcd,0.6893776523381213
Cdh12,RGC,22_M5,ENSMUSG00000040452,Cdh12,0.6811172354912233
Trhde,RGC,22_M5,ENSMUSG00000050663,Trhde,0.8546711027978575
Pcp4,RGC,22_M5,ENSMUSG00000090223,Pcp4,0.8143939081335996
Ctxn3,RGC,22_M5,ENSMUSG00000069372,Ctxn3,0.8732820963432355
Pcdh9,RGC,22_M5,ENSMUSG00000055421,Pcdh9,0.5500642629771405
Rbpms,RGC,22_M5,ENSMUSG00000031586,Rbpms,0.5060559774494477
Cdh8,RGC,22_M5,ENSMUSG00000036510,Cdh8,0.4636146907906545
Pcp4l1,RGC,22_M5,ENSMUSG00000038370,Pcp4l1,0.6629903555572793
Unc5d,RGC,22_M5,ENSMUSG00000063626,Unc5d,0.7677654080459457
Kirrel3,RGC,22_M5,ENSMUSG00000032036,Kirrel3,0.953319378386073
Aldoc,RGC,22_M5,ENSMUSG00000017390,Aldoc,0.4558174308604059
Kcnd2,RGC,23_W3D2,ENSMUSG00000060882,Kcnd2,1.0206671671819134
Pcdh7,RGC,23_W3D2,ENSMUSG00000029108,Pcdh7,0.8373799519511551
Ptn,RGC,23_W3D2,ENSMUSG00000029838,Ptn,0.9535667595944376
Mafb,RGC,23_W3D2,ENSMUSG00000074622,Mafb,1.4370702147037944
Pde4b,RGC,23_W3D2,ENSMUSG00000028525,Pde4b,0.3991036584385566
Sphkap,RGC,23_W3D2,ENSMUSG00000026163,Sphkap,0.7428807746423245
Slc24a3,RGC,23_W3D2,ENSMUSG00000063873,Slc24a3,0.4407961817281134
Pvalb,RGC,23_W3D2,ENSMUSG00000005716,Pvalb,1.38049020319175
Lrrc4c,RGC,23_W3D2,ENSMUSG00000050587,Lrrc4c,0.611346236542985
Kitl,RGC,23_W3D2,ENSMUSG00000019966,Kitl,0.4325242887319168
Rbfox1,RGC,23_W3D2,ENSMUSG00000008658,Rbfox1,0.3942027783884137
6330411D24Rik,RGC,23_W3D2,ENSMUSG00000110067,6330411D24Rik,1.0108910991913225
Tppp3,RGC,23_W3D2,ENSMUSG00000014846,Tppp3,1.1676568179390725
Chrm2,RGC,23_W3D2,ENSMUSG00000045613,Chrm2,1.4596035362181374
Gabrg3,RGC,23_W3D2,ENSMUSG00000055026,Gabrg3,0.6352104046634155
Egfem1,RGC,23_W3D2,ENSMUSG00000063600,Egfem1,0.5859267031181312
Dpp10,RGC,23_W3D2,ENSMUSG00000036815,Dpp10,0.901266107157508
Pvalb,RGC,24_Novel,ENSMUSG00000005716,Pvalb,1.011836469008133
Clstn2,RGC,24_Novel,ENSMUSG00000032452,Clstn2,0.5088860146555105
Dpp10,RGC,24_Novel,ENSMUSG00000036815,Dpp10,0.8218567993469065
Egfem1,RGC,24_Novel,ENSMUSG00000063600,Egfem1,0.5069999475758247
Sgcd,RGC,24_Novel,ENSMUSG00000020354,Sgcd,0.7327553674311995
Tppp3,RGC,24_Novel,ENSMUSG00000014846,Tppp3,0.689083914340366
Ano3,RGC,24_Novel,ENSMUSG00000074968,Ano3,0.6303648541580571
Gm32647,RGC,24_Novel,ENSMUSG00000108532,Gm32647,1.3197551657647966
Sgcz,RGC,24_Novel,ENSMUSG00000039539,Sgcz,0.5512418065732078
Basp1,RGC,24_Novel,ENSMUSG00000045763,Basp1,0.6515717167573046
Ncam2,RGC,24_Novel,ENSMUSG00000022762,Ncam2,0.6795702007675971
Calb1,RGC,24_Novel,ENSMUSG00000028222,Calb1,1.196495080448807
Pcdh10,RGC,24_Novel,ENSMUSG00000049100,Pcdh10,0.843067168925433
Tafa2,RGC,24_Novel,ENSMUSG00000044071,Tafa2,0.5718530296601112
Alcam,RGC,24_Novel,ENSMUSG00000022636,Alcam,0.5901219748531077
Inpp4b,RGC,25_Novel,ENSMUSG00000037940,Inpp4b,0.3654356152693782
Ralyl,RGC,25_Novel,ENSMUSG00000039717,Ralyl,0.3210847127227181
Ptn,RGC,25_Novel,ENSMUSG00000029838,Ptn,0.8898474498360189
Tafa1,RGC,25_Novel,ENSMUSG00000059187,Tafa1,0.4074483930056707
Meis2,RGC,25_Novel,ENSMUSG00000027210,Meis2,0.5821563260539385
