Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Slc17a8,AC,AC_13,ENSMUSG00000019935,Slc17a8,0.8244897934932854
Slc24a3,AC,AC_13,ENSMUSG00000063873,Slc24a3,0.2820665804521281
Gabra2,AC,AC_13,ENSMUSG00000000560,Gabra2,0.3819155651639241
Sorcs1,AC,AC_13,ENSMUSG00000043531,Sorcs1,0.4111555593673131
Alk,AC,AC_13,ENSMUSG00000055471,Alk,0.2893480131059453
Gpc6,AC,AC_13,ENSMUSG00000058571,Gpc6,0.3563859297491658
Grin2a,AC,AC_13,ENSMUSG00000059003,Grin2a,0.3681843981828246
Gria3,AC,AC_13,ENSMUSG00000001986,Gria3,0.2729599961751369
Sorcs3,AC,AC_13,ENSMUSG00000063434,Sorcs3,0.2563834535376915
Cntn5,AC,AC_13,ENSMUSG00000039488,Cntn5,0.3957008320667965
Pcdh7,AC,AC_13,ENSMUSG00000029108,Pcdh7,0.5413911672925229
Ptprm,AC,AC_13,ENSMUSG00000033278,Ptprm,0.2839308016314587
Tafa1,AC,AC_14,ENSMUSG00000059187,Tafa1,0.6240813880943583
Shisa8,AC,AC_14,ENSMUSG00000096883,Shisa8,0.4165336558742906
Cdk14,AC,AC_14,ENSMUSG00000028926,Cdk14,0.4173981926835993
Grik1,AC,AC_14,ENSMUSG00000022935,Grik1,1.0538740068363237
Khdrbs2,AC,AC_14,ENSMUSG00000026058,Khdrbs2,0.5031691742086893
Tfap2b,AC,AC_14,ENSMUSG00000025927,Tfap2b,0.788923612260239
Frmd5,AC,AC_14,ENSMUSG00000027238,Frmd5,0.5736091029212851
Inpp4b,AC,AC_14,ENSMUSG00000037940,Inpp4b,0.4042425412193392
Dmd,AC,AC_14,ENSMUSG00000045103,Dmd,0.7038074506634343
Tenm3,AC,AC_14,ENSMUSG00000031561,Tenm3,0.5497604342174103
Meis2,AC,AC_14,ENSMUSG00000027210,Meis2,0.4147459789726969
Ralyl,AC,AC_14,ENSMUSG00000039717,Ralyl,0.4327747233261202
Car8,AC,AC_14,ENSMUSG00000041261,Car8,0.6091367149334992
Cbln2,AC,AC_14,ENSMUSG00000024647,Cbln2,1.0505247586382531
Pid1,AC,AC_15,ENSMUSG00000045658,Pid1,0.2120888149330918
Spock1,AC,AC_15,ENSMUSG00000056222,Spock1,0.2402836380670761
Il1rapl2,AC,AC_15,ENSMUSG00000059203,Il1rapl2,0.3575952068163266
Alk,AC,AC_15,ENSMUSG00000055471,Alk,0.3791323273096776
Galntl6,AC,AC_15,ENSMUSG00000096914,Galntl6,0.6422383893161028
Nnat,AC,AC_15,ENSMUSG00000067786,Nnat,0.3213542158564559
Nlgn1,AC,AC_15,ENSMUSG00000063887,Nlgn1,0.2418902056888585
Cacna2d3,AC,AC_15,ENSMUSG00000021991,Cacna2d3,0.2773061082648859
Grid2,AC,AC_15,ENSMUSG00000071424,Grid2,0.3095683102297784
Lamp5,AC,AC_15,ENSMUSG00000027270,Lamp5,0.2643655873006377
Gsta4,AC,AC_15,ENSMUSG00000032348,Gsta4,0.4611010622654146
Tmsb4x,AC,AC_15,ENSMUSG00000049775,Tmsb4x,0.3234407126609165
Ptprt,AC,AC_15,ENSMUSG00000053141,Ptprt,0.2092032171963432
Brinp3,AC,AC_15,ENSMUSG00000035131,Brinp3,0.4098365685523361
Cntnap5a,AC,AC_15,ENSMUSG00000070695,Cntnap5a,0.2612410813536348
Grik1,AC,AC_15,ENSMUSG00000022935,Grik1,0.3285378406201405
Zmat4,AC,AC_15,ENSMUSG00000037492,Zmat4,0.2101128521608811
Grm7,AC,AC_16,ENSMUSG00000056755,Grm7,0.4274740703424698
Igfbp2,AC,AC_16,ENSMUSG00000039323,Igfbp2,0.4027508033584848
Galntl6,AC,AC_16,ENSMUSG00000096914,Galntl6,0.3801035862715856
Unc13c,AC,AC_16,ENSMUSG00000062151,Unc13c,0.4804186896739882
Id4,AC,AC_16,ENSMUSG00000021379,Id4,0.4164684028644054
Tenm3,AC,AC_16,ENSMUSG00000031561,Tenm3,0.5938645781269297
Grid2,AC,AC_16,ENSMUSG00000071424,Grid2,0.4729812077066893
Tfap2b,AC,AC_16,ENSMUSG00000025927,Tfap2b,0.5168470832453079
Dab1,AC,AC_16,ENSMUSG00000028519,Dab1,0.740681052932368
Nrg1_ENSMUSG00000062991,AC,AC_16,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.3887801598274472
Kcnip4,AC,AC_16,ENSMUSG00000029088,Kcnip4,0.4292898330246534
Sgcz,AC,AC_16,ENSMUSG00000039539,Sgcz,0.4528667931820281
Zfp804a,AC,AC_16,ENSMUSG00000070866,Zfp804a,0.3899917808903825
AI593442,AC,AC_16,ENSMUSG00000078307,AI593442,0.5198329529501658
Adarb2,AC,AC_16,ENSMUSG00000052551,Adarb2,0.5310004214155333
Prickle1,AC,AC_17,ENSMUSG00000036158,Prickle1,0.1422266403338544
Megf11,AC,AC_17,ENSMUSG00000036466,Megf11,0.2564464616915642
Col25a1,AC,AC_17,ENSMUSG00000058897,Col25a1,0.3697927413158915
Cdh18,AC,AC_17,ENSMUSG00000040420,Cdh18,0.2095208672135624
Sgcz,AC,AC_17,ENSMUSG00000039539,Sgcz,0.1738041417863844
Pcp4l1,AC,AC_17,ENSMUSG00000038370,Pcp4l1,0.2311421118511372
Etl4,AC,AC_17,ENSMUSG00000036617,Etl4,0.3649508992420278
Rgs6,AC,AC_17,ENSMUSG00000021219,Rgs6,0.1884226589070196
Spock3,AC,AC_17,ENSMUSG00000054162,Spock3,0.1529872062362119
Pcp4,AC,AC_17,ENSMUSG00000090223,Pcp4,0.2410763442431878
Kctd16,AC,AC_17,ENSMUSG00000051401,Kctd16,0.170359745584281
Igfbp7,AC,AC_17,ENSMUSG00000036256,Igfbp7,0.2693148119263098
Zmat4,AC,AC_17,ENSMUSG00000037492,Zmat4,0.2055212397899333
Calb2,AC,AC_17,ENSMUSG00000003657,Calb2,0.3588798286705489
Rbfox1,AC,AC_17,ENSMUSG00000008658,Rbfox1,0.2068959590997078
Isl1,AC,AC_17,ENSMUSG00000042258,Isl1,0.2538438516789504
Cacna2d1,AC,AC_17,ENSMUSG00000040118,Cacna2d1,0.1438366519600278
Sox2ot,AC,AC_17,ENSMUSG00000105265,Sox2ot,0.3079081517251337
Ralyl,AC,AC_18,ENSMUSG00000039717,Ralyl,0.3661918965474187
Cpne4,AC,AC_18,ENSMUSG00000032564,Cpne4,1.0382367854671686
Tmsb4x,AC,AC_18,ENSMUSG00000049775,Tmsb4x,0.4703161432988763
Galntl6,AC,AC_18,ENSMUSG00000096914,Galntl6,0.4616866011814153
Dpp10,AC,AC_18,ENSMUSG00000036815,Dpp10,0.3622493286961184
Hs6st3,AC,AC_18,ENSMUSG00000053465,Hs6st3,0.3671153484259278
Il1rapl2,AC,AC_18,ENSMUSG00000059203,Il1rapl2,0.4520324736149786
Kcnab1,AC,AC_18,ENSMUSG00000027827,Kcnab1,0.4381390556547883
Cbln2,AC,AC_18,ENSMUSG00000024647,Cbln2,0.4273215975355661
Spock3,AC,AC_18,ENSMUSG00000054162,Spock3,0.5058651936540125
Phactr1,AC,AC_18,ENSMUSG00000054728,Phactr1,0.3640318035938534
Il1rapl1,AC,AC_18,ENSMUSG00000052372,Il1rapl1,0.6064696021993495
Nrg1_ENSMUSG00000062991,AC,AC_18,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.4125747428039492
Brinp3,AC,AC_18,ENSMUSG00000035131,Brinp3,0.3601539235169322
Lhfp,AC,AC_19,ENSMUSG00000048332,Lhfp,0.3672256967237552
Efna5,AC,AC_19,ENSMUSG00000048915,Efna5,0.2903863703388207
Hs6st3,AC,AC_19,ENSMUSG00000053465,Hs6st3,0.5377462083177696
Tfap2b,AC,AC_19,ENSMUSG00000025927,Tfap2b,0.3085340653039026
Pcdh15,AC,AC_19,ENSMUSG00000052613,Pcdh15,0.605919422214326
Cntnap2,AC,AC_19,ENSMUSG00000039419,Cntnap2,0.5802133215681644
Ptprk,AC,AC_19,ENSMUSG00000019889,Ptprk,0.5805510430452481
Wwox,AC,AC_19,ENSMUSG00000004637,Wwox,0.6506482106102562
Col25a1,AC,AC_19,ENSMUSG00000058897,Col25a1,0.5336937345298356
Dab1,AC,AC_19,ENSMUSG00000028519,Dab1,0.3662155899664645
Prkg1,AC,AC_19,ENSMUSG00000052920,Prkg1,0.3022517401874466
Adarb2,AC,AC_19,ENSMUSG00000052551,Adarb2,0.5369535247112895
Resp18,AC,AC_2,ENSMUSG00000033061,Resp18,0.5596505306357114
Kcna6,AC,AC_2,ENSMUSG00000038077,Kcna6,0.7698869443454716
Luzp2,AC,AC_2,ENSMUSG00000063297,Luzp2,0.7803509490331046
Gabrg3,AC,AC_2,ENSMUSG00000055026,Gabrg3,1.2329505820541378
Stxbp6,AC,AC_2,ENSMUSG00000046314,Stxbp6,0.6982235128113823
Maf,AC,AC_2,ENSMUSG00000055435,Maf,1.839765573054433
Cpne4,AC,AC_2,ENSMUSG00000032564,Cpne4,0.5917777222734237
Pex5l,AC,AC_2,ENSMUSG00000027674,Pex5l,0.5802397252131231
Cntnap5a,AC,AC_2,ENSMUSG00000070695,Cntnap5a,0.6732853807075219
Pcdh7,AC,AC_2,ENSMUSG00000029108,Pcdh7,1.7427698341868898
Ncam2,AC,AC_20,ENSMUSG00000022762,Ncam2,0.4356643293642032
Tafa1,AC,AC_20,ENSMUSG00000059187,Tafa1,0.3102504435631938
Il1rapl2,AC,AC_20,ENSMUSG00000059203,Il1rapl2,0.3838638706575165
Gabra2,AC,AC_20,ENSMUSG00000000560,Gabra2,0.2822418680810824
Gabrg3,AC,AC_20,ENSMUSG00000055026,Gabrg3,0.6078569590839543
Pcdh7,AC,AC_20,ENSMUSG00000029108,Pcdh7,0.4114418313284083
Gad1,AC,AC_20,ENSMUSG00000070880,Gad1,0.4620314608113462
Ralyl,AC,AC_20,ENSMUSG00000039717,Ralyl,0.3361823235097472
Pcdh9,AC,AC_20,ENSMUSG00000055421,Pcdh9,0.8015888488318843
Grm8,AC,AC_20,ENSMUSG00000024211,Grm8,0.4591440871659403
Scg2,AC,AC_20,ENSMUSG00000050711,Scg2,0.3500838164127416
Dpf3,AC,AC_20,ENSMUSG00000021221,Dpf3,0.4184026569760145
Shisa8,AC,AC_20,ENSMUSG00000096883,Shisa8,0.2803000350253943
Zmat4,AC,AC_20,ENSMUSG00000037492,Zmat4,0.4430512864449806
Asic2,AC,AC_20,ENSMUSG00000020704,Asic2,0.2729671666603608
Vgf,AC,AC_20,ENSMUSG00000037428,Vgf,0.3366462075202183
Cdh20,AC,AC_20,ENSMUSG00000050840,Cdh20,0.3364467358252146
C1ql3,AC,AC_21,ENSMUSG00000049630,C1ql3,0.8538161781129403
Nav2,AC,AC_21,ENSMUSG00000052512,Nav2,0.4097141196965988
Tac1,AC,AC_21,ENSMUSG00000061762,Tac1,0.7313747970111479
Robo1,AC,AC_21,ENSMUSG00000022883,Robo1,0.7436123262752172
Cpne5,AC,AC_21,ENSMUSG00000024008,Cpne5,0.6200831031403639
Stmn2,AC,AC_21,ENSMUSG00000027500,Stmn2,0.5199710722023163
Lrrc4c,AC,AC_21,ENSMUSG00000050587,Lrrc4c,0.4693678192597663
Cntn5,AC,AC_21,ENSMUSG00000039488,Cntn5,0.8279506955401637
Lmo4,AC,AC_21,ENSMUSG00000028266,Lmo4,0.8387498054056798
AI593442,AC,AC_21,ENSMUSG00000078307,AI593442,0.5641626920418832
Scg2,AC,AC_21,ENSMUSG00000050711,Scg2,0.4871115590434982
Ncam2,AC,AC_21,ENSMUSG00000022762,Ncam2,0.5803680082097834
Pcdh9,AC,AC_21,ENSMUSG00000055421,Pcdh9,0.904047079886823
Cacna2d1,AC,AC_22,ENSMUSG00000040118,Cacna2d1,0.2762390631581362
Erbb4,AC,AC_22,ENSMUSG00000062209,Erbb4,0.4247899464422053
Zmat4,AC,AC_22,ENSMUSG00000037492,Zmat4,0.2742342130298951
Csmd1,AC,AC_22,ENSMUSG00000060924,Csmd1,0.3782233329505114
Rnf220,AC,AC_22,ENSMUSG00000028677,Rnf220,0.2669995075239298
Sorcs1,AC,AC_22,ENSMUSG00000043531,Sorcs1,0.2990443326413344
Schip1,AC,AC_22,ENSMUSG00000027777,Schip1,0.4065644913938125
C1ql1,AC,AC_22,ENSMUSG00000045532,C1ql1,0.5087377775577167
Opcml,AC,AC_22,ENSMUSG00000062257,Opcml,0.578446414089109
Egfem1,AC,AC_22,ENSMUSG00000063600,Egfem1,0.4515011820060768
Meis2,AC,AC_22,ENSMUSG00000027210,Meis2,0.3882134767847328
Cbln4,AC,AC_22,ENSMUSG00000067578,Cbln4,0.7763582263253822
Cngb3,AC,AC_22,ENSMUSG00000056494,Cngb3,0.2658390772979766
Vip,AC,AC_22,ENSMUSG00000019772,Vip,1.3580663680048666
Gabrb1,AC,AC_22,ENSMUSG00000029212,Gabrb1,0.3527520871578997
Kirrel3,AC,AC_22,ENSMUSG00000032036,Kirrel3,0.430705041237622
Rbfox1,AC,AC_22,ENSMUSG00000008658,Rbfox1,0.324345903562416
Pcdh9,AC,AC_23,ENSMUSG00000055421,Pcdh9,0.4442626708820779
Sorcs3,AC,AC_23,ENSMUSG00000063434,Sorcs3,0.2457166845297866
Pcdh17,AC,AC_23,ENSMUSG00000035566,Pcdh17,0.5411125363671825
P3h2,AC,AC_23,ENSMUSG00000038168,P3h2,0.3801881615957204
Opcml,AC,AC_23,ENSMUSG00000062257,Opcml,0.6051852554235815
Nrg1_ENSMUSG00000062991,AC,AC_23,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.492351337387829
Lamp5,AC,AC_23,ENSMUSG00000027270,Lamp5,0.4375622120273835
Tenm1,AC,AC_23,ENSMUSG00000016150,Tenm1,0.4320655886971181
Prkca,AC,AC_23,ENSMUSG00000050965,Prkca,0.5213013416500443
Kcnip1,AC,AC_23,ENSMUSG00000053519,Kcnip1,0.2810590903509768
