Gene,Cell Type,Gene,Coefficient
Luzp2,20_Novel,Luzp2,0.943987602010229
Meis2,20_Novel,Meis2,1.2056056571118572
Chrm3,20_Novel,Chrm3,0.5943646582348592
Gpc6,20_Novel,Gpc6,0.5825231071230609
Ebf3,20_Novel,Ebf3,0.5152458033428857
Rbfox1,20_Novel,Rbfox1,0.5471906609960991
Hpgd,21_Tbr1_S2,Hpgd,0.511288245723307
Gabrg3,21_Tbr1_S2,Gabrg3,0.4692475471664814
Rgs4,21_Tbr1_S2,Rgs4,0.5995325108545929
Tppp3,21_Tbr1_S2,Tppp3,0.3921743356261881
Pvalb,21_Tbr1_S2,Pvalb,0.6015654076675525
Asic2,21_Tbr1_S2,Asic2,0.4617869122224488
Cntn5,21_Tbr1_S2,Cntn5,0.5479634327988335
Nlgn1,21_Tbr1_S2,Nlgn1,0.6108752161196765
Tafa2,21_Tbr1_S2,Tafa2,0.4729829423438547
Mgat4c,21_Tbr1_S2,Mgat4c,0.4060396055763929
Sgcz,21_Tbr1_S2,Sgcz,0.7965735439936534
Mast4,21_Tbr1_S2,Mast4,0.4488692573763955
Lrrc4c,21_Tbr1_S2,Lrrc4c,1.123008038980898
Zeb2,21_Tbr1_S2,Zeb2,0.3714995388437728
Ntng1,21_Tbr1_S2,Ntng1,0.4293622638660497
Pcp4,21_Tbr1_S2,Pcp4,0.5202218423727691
Nefm,21_Tbr1_S2,Nefm,0.388892887740827
Nrgn,21_Tbr1_S2,Nrgn,0.3813077685023071
Tshz2,21_Tbr1_S2,Tshz2,0.5979978606690086
Csmd1,22_M5,Csmd1,0.2649043928129596
Trhde,22_M5,Trhde,0.6389514207983672
Nebl,22_M5,Nebl,0.2108792613734489
Galntl6,22_M5,Galntl6,0.3214667992769155
Ndnf,22_M5,Ndnf,0.2071742039857885
Nkain2,22_M5,Nkain2,0.211396618160473
Aldoc,22_M5,Aldoc,0.3351661976810666
Sox6,22_M5,Sox6,0.215280519168956
Tenm3,22_M5,Tenm3,0.209966200073577
Gpc5,22_M5,Gpc5,0.7321782949559626
Pcdh15,22_M5,Pcdh15,0.238103524860377
Rgs6,22_M5,Rgs6,0.2168366799238646
Sgcd,22_M5,Sgcd,0.6724978878415582
Lrp1b,22_M5,Lrp1b,0.246480470827246
Kirrel3,22_M5,Kirrel3,0.4629985240916598
Hs3st4,22_M5,Hs3st4,0.2280649992887316
Pcp4,22_M5,Pcp4,0.4351007969697442
Ctxn3,22_M5,Ctxn3,0.6136321352889138
Mgat4c,22_M5,Mgat4c,0.2424295011915393
Pcp4l1,22_M5,Pcp4l1,0.223304893156275
Chrm2,23_W3D2,Chrm2,1.3291440316344667
Dpp10,23_W3D2,Dpp10,0.7646988728891612
Egfem1,23_W3D2,Egfem1,0.456904972507155
6330411D24Rik,23_W3D2,6330411D24Rik,0.8378659434657013
Maml2,23_W3D2,Maml2,0.3179029864263043
Ptn,23_W3D2,Ptn,0.6024434905424283
Mafb,23_W3D2,Mafb,1.1891044767902117
Lrrc4c,23_W3D2,Lrrc4c,0.4678316373514534
Pvalb,23_W3D2,Pvalb,1.163741159863505
Rbfox1,23_W3D2,Rbfox1,0.3705465421503269
Kcnd2,23_W3D2,Kcnd2,0.858019142812104
Isl1,23_W3D2,Isl1,0.3201897520338038
Nrn1,23_W3D2,Nrn1,0.3437977546277868
Grm7,23_W3D2,Grm7,0.3688746102618426
Hpgd,23_W3D2,Hpgd,0.577668933475605
Pcdh7,23_W3D2,Pcdh7,0.5625357464322275
Gabrg3,23_W3D2,Gabrg3,0.4872065008183909
Tppp3,23_W3D2,Tppp3,0.8633067077348715
Grm1,23_W3D2,Grm1,0.3195477675960109
Sphkap,23_W3D2,Sphkap,0.56764489893787
Ptprt,24_Novel,Ptprt,0.513273134755727
Pvalb,24_Novel,Pvalb,0.8233924808013255
Sgcz,24_Novel,Sgcz,0.5128990150276806
Pcdh10,24_Novel,Pcdh10,0.5744963946616827
Alcam,24_Novel,Alcam,0.617819053102764
Sgcd,24_Novel,Sgcd,0.5112572974145468
Vsnl1,24_Novel,Vsnl1,0.3562713582517988
Pcdh9,24_Novel,Pcdh9,0.4465046779983392
Tppp3,24_Novel,Tppp3,0.6343203392500186
Clstn2,24_Novel,Clstn2,0.5017905578564701
Tafa2,24_Novel,Tafa2,0.3986522269557311
Hpgd,24_Novel,Hpgd,0.3892615753237792
Dpp10,24_Novel,Dpp10,0.7072525706236279
Rgs2,24_Novel,Rgs2,0.3776448492432274
Ano3,24_Novel,Ano3,0.7073950728252802
Gm32647,24_Novel,Gm32647,1.1191382126382072
Gabrg3,24_Novel,Gabrg3,0.3892047566985378
Egfem1,24_Novel,Egfem1,0.4350388472026298
Calb1,24_Novel,Calb1,1.2612594903087495
Zmat4,25_Novel,Zmat4,0.3214556710861854
Rbpms2,25_Novel,Rbpms2,0.3011278356667915
Ptn,25_Novel,Ptn,0.5354969399015389
Ralyl,25_Novel,Ralyl,0.302212290655003
Nell1,25_Novel,Nell1,0.3777220764843464
Cplx1,25_Novel,Cplx1,0.4727944635157489
Nxph1,25_Novel,Nxph1,0.2530827536723947
Fabp5,25_Novel,Fabp5,0.3052765067660865
Nefm,25_Novel,Nefm,0.4227175223534578
Meis2,25_Novel,Meis2,0.3485392596404296
Kirrel3,25_Novel,Kirrel3,0.5016705338743338
Tafa1,25_Novel,Tafa1,0.3183149709712105
Inpp4b,25_Novel,Inpp4b,0.3167405789858539
Grid2,25_Novel,Grid2,0.7031893065297663
Ebf1,25_Novel,Ebf1,0.3209625429069715
Pcdh9,25_Novel,Pcdh9,0.2885485856401321
Rgs6,25_Novel,Rgs6,0.4869295879992878
Lrrtm4,25_Novel,Lrrtm4,0.2858740814732409
