Name	Marker	Curated	Queried
AC46	Filip1l		Queried
AC61	Filip1l		Queried
AC37	Foxp1		Queried
AC	Frmd5		Queried
AC14	Frmd5		Queried
AC38	Frmd5		Queried
AC46	Fstl4		Queried
AC44	Fstl5		Queried
AC54	Fxyd6		Queried
AC57	Fxyd6		Queried
AC59	Fxyd6		Queried
AC6	Gabra1		Queried
MOUSE AC	Gabra1		Queried
AC13	Gabra2		Queried
AC42	Gabra2		Queried
AC51	Gabra2		Queried
AC22	Gabrb1		Queried
AC37	Gabrb1		Queried
AC43	Gabrb1		Queried
AC62	Gabrb1		Queried
MOUSE AC	Gabrb2		Queried
AC16	Gabrb3		Queried
AC56	Gabrb3		Queried
AC2	Gabrg3		Queried
AC20	Gabrg3		Queried
AC33	Gabrg3		Queried
AC4	Gabrg3		Queried
AC42	Gabrg3		Queried
AC57	Gabrg3		Queried
AC62	Gabrg3		Queried
AC20	Gad1		Queried
AC42	Gad1		Queried
AC5	Gad1		Queried
AC35	Galnt13		Queried
AC47	Galnt13		Queried
AC	Galntl6		Queried
AC15	Galntl6		Queried
AC16	Galntl6		Queried
AC18	Galntl6		Queried
AC25	Galntl6		Queried
AC27	Galntl6		Queried
AC29	Galntl6		Queried
AC36	Galntl6		Queried
AC40	Galntl6		Queried
AC50	Galntl6		Queried
AC52	Galntl6		Queried
AC58	Galntl6		Queried
AC52	Gap43		Queried
AC60	Gas7		Queried
MOUSE AC	Gas7		Queried
AC40	Gch1	Curated	
AC38	Gfra1		Queried
AC51	Ghrh	Curated	
AC3	Gjd2	Curated	
AC29	Glra1	Curated	Queried
AC35	Glra3		Queried
MOUSE AC	Glra3		Queried
AC1	Glul		Queried
AC37	Glul		Queried
AC55	Glul		Queried
MOUSE AC	Gm10631	Curated	
AC52	Gm525	Curated	
AC17	Gng7	Curated	
AC13	Gpc6		Queried
AC24	Gpc6		Queried
AC25	Gpc6		Queried
AC58	Gpc6		Queried
AC11	Gpr22		Queried
AC44	Gpr88	Curated	Queried
AC35	Gria1		Queried
AC49	Gria1		Queried
AC9	Gria1		Queried
AC	Gria4		Queried
AC11	Grid2		Queried
AC15	Grid2		Queried
AC30	Grid2		Queried
AC41	Grid2		Queried
AC44	Grid2		Queried
AC48	Grid2		Queried
AC56	Grid2		Queried
AC60	Grid2		Queried
AC61	Grid2		Queried
AC9	Grid2		Queried
AC14	Grik1		Queried
AC15	Grik1		Queried
AC10	Grik2		Queried
AC13	Grin2a		Queried
AC40	Grm1		Queried
AC40	Grm5		Queried
AC16	Grm7		Queried
AC2	Grm7		Queried
AC41	Grm7		Queried
AC47	Grm7		Queried
AC58	Grm7		Queried
AC20	Grm8		Queried
AC15	Gsta4		Queried
AC20	Gucy1a1		Queried
