Major_Name	Name	Ensembl	Marker	Coefficient
AC	AC_1	ENSMUSG00000031561	Tenm3	0.6587991109100418
AC	AC_1	ENSMUSG00000040118	Cacna2d1	0.6094084101140824
AC	AC_1	ENSMUSG00000045083	Lingo2	0.5977927002447476
AC	AC_1	ENSMUSG00000049336	Tenm2	0.5796694669720939
AC	AC_1	ENSMUSG00000008658	Rbfox1	0.5615316254518763
AC	AC_1	ENSMUSG00000006586	Runx1t1	0.5246051788181436
AC	AC_1	ENSMUSG00000070565	Rasal2	0.519232438146978
AC	AC_1	ENSMUSG00000063626	Unc5d	0.45744749156377557
AC	AC_1	ENSMUSG00000026473	Glul	0.4302621591218512
AC	AC_1	ENSMUSG00000028832	Stmn1	0.41492741904560837
AC	AC_1	ENSMUSG00000025551	Fgf14	0.41355387854117753
AC	AC_1	ENSMUSG00000029821	Gsdme	0.411535337319796
AC	AC_1	ENSMUSG00000049100	Pcdh10	0.39410161135653443
AC	AC_1	ENSMUSG00000020598	Nrcam	0.38747638879982477
AC	AC_1	ENSMUSG00000048078	Tenm4	0.37679456644765025
AC	AC_1	ENSMUSG00000043336	Filip1l	0.3738112056245433
AC	AC_1	ENSMUSG00000055435	Maf	-1.0356041912446337
AC	AC_1	ENSMUSG00000029108	Pcdh7	-0.8912185021153936
AC	AC_1	ENSMUSG00000039717	Ralyl	-0.8038553716938053
AC	AC_1	ENSMUSG00000078307	AI593442	-0.7696598403184713
AC	AC_1	ENSMUSG00000029088	Kcnip4	-0.733823067952005
AC	AC_1	ENSMUSG00000019888	Mgat4c	-0.6415118207309478
AC	AC_1	ENSMUSG00000046314	Stxbp6	-0.6198203624824847
AC	AC_1	ENSMUSG00000090223	Pcp4	-0.6048361125602708
AC	AC_1	ENSMUSG00000055026	Gabrg3	-0.5342614268082225
AC	AC_1	ENSMUSG00000070695	Cntnap5a	-0.5265525001702683
AC	AC_1	ENSMUSG00000062991	Nrg1_ENSMUSG00000062991	-0.5125536589973755
AC	AC_1	ENSMUSG00000041112	Elmo1	-0.49411600037973935
AC	AC_1	ENSMUSG00000028266	Lmo4	-0.44658218316748927
AC	AC_1	ENSMUSG00000109321	A330076H08Rik	-0.4067180088060327
AC	AC_1	ENSMUSG00000028373	Astn2	-0.40416241976293826
AC	AC_1	ENSMUSG00000034040	Galnt17	-0.3975731693013584
AC	AC_1	ENSMUSG00000024268	Celf4	-0.39354160837986724
AC	AC_1	ENSMUSG00000058997	Vwa8	-0.3809718160922018
AC	AC_1	ENSMUSG00000039714	Cplx3	-0.37988057026649347
AC	AC_1	ENSMUSG00000059187	Tafa1	-0.3736439259165028
AC	AC_10	ENSMUSG00000030092	Cntn6	0.8894695156684662
AC	AC_10	ENSMUSG00000056073	Grik2	0.6363001976244677
AC	AC_10	ENSMUSG00000049690	Nckap5	0.5264933409379732
AC	AC_10	ENSMUSG00000029088	Kcnip4	0.47994935107028325
AC	AC_10	ENSMUSG00000032532	Cck	0.4704341980482303
AC	AC_10	ENSMUSG00000032036	Kirrel3	0.39999301638843676
AC	AC_10	ENSMUSG00000032291	Crabp1	0.3883169207641202
AC	AC_10	ENSMUSG00000024109	Nrxn1	0.3399566283081684
AC	AC_10	ENSMUSG00000049336	Tenm2	0.3280061910570641
AC	AC_10	ENSMUSG00000052889	Prkcb	0.3005645742983993
AC	AC_10	ENSMUSG00000048540	Nhlh2	0.28699264363148735
AC	AC_10	ENSMUSG00000057914	Cacnb2	0.2774716168106015
AC	AC_10	ENSMUSG00000036478	Btg1	0.2632438782474834
AC	AC_10	ENSMUSG00000027777	Schip1	0.2571021740227009
AC	AC_10	ENSMUSG00000057098	Ebf1	0.2567952555936474
AC	AC_10	ENSMUSG00000041540	Sox5	0.25129024439886316
AC	AC_10	ENSMUSG00000004347	Pde1c	0.23442753175877173
AC	AC_10	ENSMUSG00000063873	Slc24a3	0.2335222401265945
