Name	Marker	Curated	Queried
NOVEL_18	Spon1		Queried
ALPHA-RGC	Spp1	Curated	
ALPHAOFF-S	Spp1	Curated	Queried
ALPHAOFF-T	Spp1	Curated	Queried
ALPHAON-S	Spp1	Curated	
ALPHAON-T	Spp1	Curated	Queried
IPRGC	Spp1	Curated	
M2	Spp1	Curated	Queried
M4	Spp1	Curated	
RGC	Stmn2		Queried
NOVEL_29	Stxbp6	Curated	
NOVEL_36	Stxbp6	Curated	
NOVEL_13	Sv2c		Queried
NOVEL_27	Sv2c		Queried
F-MIDI-OFF	Synpr		Queried
F-MIDI-ON	Synpr		Queried
F-NOVEL	Synpr		Queried
M1B	Synpr		Queried
NOVEL_7	Synpr		Queried
F-MIDI-OFF	Tac1		Queried
NOVEL_11	Tac1		Queried
NOVEL_8	Tac1	Curated	Queried
W3D1	Tac1		Queried
DV-OODSGC	Tafa1		Queried
F-MINI-OFF	Tafa1		Queried
NOVEL_10	Tafa1		Queried
NOVEL_19	Tafa1		Queried
NOVEL_25	Tafa1		Queried
F-MINI-OFF	Tafa2		Queried
NOVEL_24	Tafa2		Queried
TBR1-S2	Tafa2		Queried
MAYBE T-OODSGC	Tafa4	Curated	
NOVEL_7	Tagln2	Curated	
NOVEL_13	Tagln3		Queried
W3D1	Tagln3		Queried
J-RGC	Tbr1	Curated	
T-RGC	Tbr1	Curated	
TBR1-S1	Tbr1	Curated	
TBR1-S2	Tbr1	Curated	
IPRGC	Tbx20	Curated	
M2	Tbx20	Curated	
NOVEL_7	Tbx20	Curated	Queried
NOVEL_19	Tcf4		Queried
NOVEL_39	Tcf4		Queried
NT-OODSGC	Tcf4		Queried
NOVEL_19	Tenm1		Queried
J-RGC	Tenm2		Queried
NOVEL_13	Tenm2		Queried
NOVEL_36	Tenm2		Queried
W3D1	Tenm2		Queried
NOVEL_35	Tenm3		Queried
NOVEL_7	Tenm3		Queried
NOVEL_39	Thsd7a		Queried
M1A	Thsd7b		Queried
M2	Thsd7b		Queried
W3D1	Thsd7b		Queried
RGC	Thy1		Queried
M3, M5, OR M6	Tmcc3		Queried
NOVEL_10	Tmeff2		Queried
NOVEL_7	Tmeff2		Queried
J-RGC	Tmsb4x		Queried
NOVEL_10	Tmsb4x		Queried
NOVEL_15	Tmsb4x		Queried
ALPHAOFF-T	Tpbg	Curated	
NOVEL_34	Tpbg	Curated	
ALPHAOFF-T	Tppp3		Queried
NOVEL_24	Tppp3		Queried
W3D2	Tppp3		Queried
F-MINI-ON	Trarg1		Queried
M3, M5, OR M6	Trhde		Queried
F-MINI-OFF	Tshz2		Queried
J-RGC	Tshz2		Queried
NOVEL_15	Tshz2		Queried
NOVEL_20	Tshz2		Queried
NOVEL_8	Tshz2		Queried
TBR1-S2	Tshz2		Queried
ALPHAON-S	Ttll7		Queried
W3D1	Tuba1a		Queried
T5-RGC	Tusc5	Curated	
T5/F-RGC	Tusc5	Curated	
F-MIDI-ON	Unc5c		Queried
M1A	Unc5d		Queried
M3, M5, OR M6	Unc5d		Queried
NOVEL_37	Unc5d		Queried
NOVEL_7	Unc5d		Queried
NOVEL_8	Unc5d		Queried
NOVEL_34	Vamp1		Queried
NOVEL_14	Vit	Curated	
F-MIDI-OFF	Vsnl1		Queried
NOVEL_34	Vsnl1		Queried
NOVEL_7	Vsnl1		Queried
F-MINI-ON	Zfhx3		Queried
J-RGC	Zfhx3		Queried
NOVEL_24	Zfhx3		Queried
TBR1-S2	Zfhx3		Queried
F-MINI-ON	Zfp804b		Queried
NOVEL_35	Zfp804b		Queried
NOVEL_44	Zfp804b		Queried
RGC	Zfp804b		Queried
W3B	Zfp804b		Queried
W3D1	Zfp804b		Queried
W3B	Zic1	Curated	
ALPHAOFF-S	Zmat4		Queried
NOVEL_25	Zmat4		Queried
