Name	Marker	Curated	Queried
NOVEL_39	Cplx1		Queried
NT-OODSGC	Cplx1		Queried
DV-OODSGC	Cplx2		Queried
F-MIDI-OFF	Cplx2		Queried
NOVEL_11	Cplx2		Queried
NOVEL_13	Cplx2		Queried
NOVEL_24	Cplx2		Queried
NOVEL_30	Cplx2		Queried
NOVEL_34	Cpne4		Queried
W3D1	Cpne4		Queried
DV-OODSGC	Crhbp		Queried
NOVEL_15	Crhbp		Queried
TBR1-NOVEL	Crhbp		Queried
TBR1-S1	Crhbp		Queried
F-MIDI-OFF	Csmd1		Queried
M1B	Csmd1		Queried
M3, M5, OR M6	Csmd1		Queried
NOVEL_18	Csmd1		Queried
NOVEL_36	Csmd1		Queried
NOVEL_37	Csmd1		Queried
TBR1-NOVEL	Csmd1		Queried
TBR1-S1	Csmd1		Queried
F-MINI-OFF	Csmd3		Queried
NOVEL_19	Csmd3		Queried
NOVEL_20	Csmd3		Queried
NOVEL_39	Csmd3		Queried
W3D1	Csmd3		Queried
NOVEL_29	Cst3		Queried
NOVEL_26	Ctnna2		Queried
ALPHAOFF-S	Ctxn3		Queried
ALPHAON-S	Ctxn3		Queried
M2	Ctxn3		Queried
M3, M5, OR M6	Ctxn3		Queried
TBR1-S1	Ctxn3		Queried
M2	Cygb		Queried
W3D1	D130009i18rik		Queried
F-MINI-ON	D130079a08rik		Queried
NOVEL_10	Dab1		Queried
NOVEL_27	Dab1		Queried
NOVEL_36	Dab1		Queried
NT-OODSGC	Dab1		Queried
F-MINI-ON	Dcc		Queried
J-RGC	Dcc		Queried
TBR1-S1	Dcc		Queried
ALPHAON-T	Dkk3		Queried
NOVEL_36	Dkk3		Queried
NOVEL_25	Dlg2		Queried
ALPHAON-S	Dlgap1		Queried
F-NOVEL	Dlgap1		Queried
M2	Dlgap1		Queried
F-MIDI-ON	Dpp10		Queried
F-MINI-ON	Dpp10		Queried
NOVEL_13	Dpp10		Queried
NOVEL_24	Dpp10		Queried
NOVEL_35	Dpp10		Queried
W3D2	Dpp10		Queried
NOVEL_44	Dpp6		Queried
NOVEL_15	Ebf1		Queried
NOVEL_29	Ebf1		Queried
NOVEL_8	Ebf1		Queried
RGC	Ebf1		Queried
F-MIDI-ON	Ebf3		Queried
F-RGC	Ebf3	Curated	
NOVEL_11	Ebf3		Queried
NOVEL_19	Ebf3		Queried
NOVEL_20	Ebf3		Queried
NOVEL_27	Ebf3		Queried
NOVEL_18	Edil3		Queried
NOVEL_44	Edil3		Queried
F-NOVEL	Egfem1		Queried
J-RGC	Egfem1		Queried
NOVEL_24	Egfem1		Queried
F-MINI-ON	Enox1		Queried
NOVEL_10	Enox1		Queried
GANGLIONOTHER78	Eomes	Curated	
IPRGC	Eomes	Curated	
M1B	Eomes		Queried
M1B	Etl4		Queried
NOVEL_18	Etl4		Queried
NOVEL_44	Etl4		Queried
NOVEL_7	Etl4		Queried
NOVEL_8	Etl4		Queried
ALPHAOFF-T	Etv1		Queried
ALPHAON-T	Etv1		Queried
ALPHAOFF-S	Fabp5		Queried
M2	Fabp5		Queried
TBR1-S1	Fabp5		Queried
NOVEL_18	Fads2b	Curated	
NOVEL_10	Fat3		Queried
NOVEL_27	Fat3		Queried
ALPHAOFF-S	Fes	Curated	
ALPHAOFF-T	Fgf1		Queried
ALPHAON-S	Fgf1		Queried
ALPHAON-T	Fgf1		Queried
NOVEL_37	Fgf1		Queried
F-MIDI-OFF	Foxp1		Queried
F-MINI-OFF	Foxp1		Queried
F-RGC	Foxp1	Curated	
F-MIDI-OFF	Foxp2	Curated	
F-MIDI-ON	Foxp2	Curated	Queried
F-MINI-ON	Foxp2	Curated	Queried
F-NOVEL	Foxp2		Queried
F-RGC	Foxp2	Curated	
T5/F-RGC	Foxp2	Curated	
ALPHAOFF-S	Frmd5		Queried
F-NOVEL	Frmd5		Queried
NOVEL_37	Frmd5		Queried
RGC	Frmd5		Queried
NOVEL_13	Fstl5		Queried
NT-OODSGC	Fstl5		Queried
NOVEL_44	Fxyd6	Curated	
F-MIDI-OFF	Gabra2		Queried
NOVEL_36	Gabra2		Queried
NOVEL_18	Gabrb1		Queried
NOVEL_36	Gabrb1		Queried
TBR1-NOVEL	Gabrb1		Queried
NOVEL_11	Gabrg3		Queried
NOVEL_13	Gabrg3		Queried
NOVEL_24	Gabrg3		Queried
NOVEL_7	Gabrg3		Queried
NT-OODSGC	Gabrg3		Queried
OODS_CCK_14	Gabrg3		Queried
RGC	Gabrg3		Queried
TBR1-S2	Gabrg3		Queried
W3D2	Gabrg3		Queried
NOVEL_20	Gal	Curated	
F-MIDI-ON	Galntl6		Queried
F-MINI-OFF	Galntl6		Queried
F-NOVEL	Galntl6		Queried
NOVEL_15	Galntl6		Queried
NOVEL_29	Galntl6		Queried
RGC	Galntl6		Queried
W3D1	Galntl6		Queried
