Cell Type,Gene,Coefficient
15_Novel,Kcnd2,-0.4038431490295494
15_Novel,Dscam,-0.3950019452401797
15_Novel,Cst3,-0.3798379491807897
15_Novel,Rgs7,-0.37218368947192826
15_Novel,Ftl1,-0.3641357358651604
15_Novel,Ntng1,-0.3415762461560285
15_Novel,Cd81,-0.32515649594529783
15_Novel,Khdrbs2,-0.32471165469931046
16_ooDS_DV,Cartpt,1.4431550956218735
16_ooDS_DV,Cdh6,0.7838889099604528
16_ooDS_DV,Hs3st4,0.7450732302727034
16_ooDS_DV,Pcdh11x,0.6990301868548514
16_ooDS_DV,Rgs4,0.604112684224465
16_ooDS_DV,Col25a1,0.5978589386113071
16_ooDS_DV,Scg2,0.5284084549846081
16_ooDS_DV,Tafa1,0.5149040380692473
16_ooDS_DV,Cntn5,0.4868259722093943
16_ooDS_DV,Crhbp,0.47262634698215206
16_ooDS_DV,Pcp4,0.38886591825336453
16_ooDS_DV,Clstn2,0.35217763597605894
16_ooDS_DV,Opcml,0.3499960264915796
16_ooDS_DV,Gm32647,0.33258449592417766
16_ooDS_DV,Cplx2,0.331900338479524
16_ooDS_DV,6330411D24Rik,0.32538116519949
16_ooDS_DV,Alk,0.3138447309115399
16_ooDS_DV,Nrn1,0.31294809688439595
16_ooDS_DV,Ebf1,0.30713308745091594
16_ooDS_DV,Ralyl,0.2842653688090162
16_ooDS_DV,Stmn1,-0.8268187442730976
16_ooDS_DV,Mgat4c,-0.48837186644550284
16_ooDS_DV,mt-Nd1,-0.4649338196086241
16_ooDS_DV,Kctd8,-0.4319220948451821
16_ooDS_DV,Zfp804b,-0.4032668024577719
16_ooDS_DV,Sphkap,-0.40223336818695193
16_ooDS_DV,Galntl6,-0.37963412019169407
16_ooDS_DV,Tmsb4x,-0.378096816267942
16_ooDS_DV,Ano3,-0.3587349031172934
16_ooDS_DV,Kcnd2,-0.35857318359633006
16_ooDS_DV,Ftl1,-0.3526269079757272
16_ooDS_DV,Nrg3,-0.3354385006394588
16_ooDS_DV,Bc1,-0.33014956787408084
16_ooDS_DV,Cmss1,-0.31527263672562494
16_ooDS_DV,Actb,-0.31264177856816733
16_ooDS_DV,Kirrel3,-0.3112037887503584
16_ooDS_DV,Sorcs1,-0.30613047844178715
16_ooDS_DV,Lrrtm4,-0.2994352823355341
16_ooDS_DV,Alcam,-0.2991940383295068
16_ooDS_DV,Tmsb10,-0.2963092965852617
17_Tbr1_S1,Nrgn,1.0411606089703795
17_Tbr1_S1,Meis2,0.7466379563861095
