Cell Type,Gene,Coefficient
Pericyte,Xist,-0.21546939881487637
Pericyte,Adgrl4,-0.21402831962627883
Pericyte,Itm2a,-0.2115515243846932
Pericyte,Ly6c1,-0.20838529951392276
Pericyte,Stmn1,-0.20308909210129966
Pericyte,Kcnip4,-0.20128384570812635
Pericyte,Tmsb4x,-0.1986311620385543
Pericyte,Gnb1,-0.19466940052464043
Pericyte,Cxcl12,-0.18862589723936177
RGC,Rbpms,0.999984022126286
RGC,Rbms3,0.7614603749891341
RGC,Ebf1,0.7118362300101682
RGC,Thy1,0.6954747869860256
RGC,Gngt1,0.6870830089821438
RGC,Galntl6,0.6664815339368044
RGC,Epha6,0.6653902514375943
RGC,D130079A08Rik,0.6399355737132962
RGC,Kctd16,0.6263580279880877
RGC,Clstn2,0.5849815127624425
RGC,Resp18,0.5644814239990756
RGC,Smim40,0.5559910514384337
RGC,Kcnd2,0.5376947569147971
RGC,Hmgn1,0.5262449300439853
RGC,6330411D24Rik,0.5233316255425893
RGC,Rbfox1,0.5210826768146625
RGC,Nefm,0.47986361142250744
RGC,Nrn1,0.47924634829821805
RGC,Il1rapl1,0.47819314724831097
RGC,Stmn2,0.47492980199259055
RGC,Dmd,-0.9529158013012045
RGC,Frmd5,-0.8203675833870491
RGC,Prkg1,-0.7856758218869818
RGC,Apoe,-0.7421844808746952
RGC,Synpr,-0.7153287259157688
RGC,Pcdh15,-0.6649309929349634
RGC,Samsn1,-0.6363219819057708
RGC,Trpm1,-0.6168843892642002
RGC,Bc1,-0.6054055823047688
RGC,Sag,-0.6043877451728642
RGC,Cmss1,-0.5769368609260725
RGC,Ptprz1,-0.5266664815913249
RGC,Slc32a1,-0.5045039025397289
RGC,Gpm6b,-0.48360134771979046
RGC,Rpgrip1,-0.474211636498072
RGC,mt-Nd1,-0.4696506558725416
RGC,Grik1,-0.46597193664365677
RGC,Il1rapl2,-0.4648367275368608
RGC,Ptprk,-0.4603089102325921
RGC,Nckap5,-0.45496249549604956
RPE,Ttr,0.44175412257726365
RPE,Ptgds,0.4068721565622815
RPE,Rpe65,0.3569518365394733
RPE,Trf,0.2536551176121612
RPE,Rgr,0.2360685208772956
RPE,Rbp1,0.21796187818499788
RPE,Rdh5,0.19542531833931492
RPE,Slc16a1,0.16530813259361865
RPE,Slc16a8,0.1581490054830753
RPE,Cdr2,0.13621570879024392
RPE,Slc4a5,0.11137771552259312
RPE,Abhd2,0.10694688326952193
RPE,Timp3,0.10448446690529396
RPE,Col8a1,0.10359221381869915
RPE,Ctsd,0.10291423373587744
RPE,Vtn,0.10057953742245818
RPE,Mt3,0.09878182330300228
RPE,Gsta4,0.09863891716149636
RPE,Sostdc1,0.09848250681989461
RPE,Rrh,0.0961783648926083
RPE,mt-Nd1,-0.5515748771912523
RPE,Tmsb4x,-0.30081023225867665
RPE,Bc1,-0.27469480123078366
RPE,Junb,-0.2551647511430492
RPE,Glul,-0.2547199759766924
RPE,Car2,-0.25156266977575564
RPE,Actb,-0.25073030052183176
RPE,Ftl1,-0.24765108786446738
RPE,Tmsb10,-0.2325294943891552
RPE,Pcp4,-0.22019021427227065
RPE,Xist,-0.21786217591657492
RPE,Gng13,-0.21442464609012435
RPE,Grm8,-0.18962284458985765
RPE,Cd81,-0.18812660864615763
RPE,Pax6,-0.1879076359954214
RPE,Ttyh1,-0.17701659720286875
RPE,Pnn,-0.1754630658699953
RPE,Fos,-0.17183439941611678
RPE,Atp2b1,-0.16916621480165947
RPE,Fxyd1,-0.16804263749270631
Rod,Cmss1,0.5440447069408286
Rod,Rho,0.5386637185116973
Rod,Pcp4,0.4301940577065288
Rod,Cnga1,0.42213394603048987
Rod,Marchf1,0.4208515514840056
Rod,Nefl,0.3689245062291743
Rod,Cartpt,0.3667677299092735
Rod,Sag,0.3489407217310809
Rod,Pex5l,0.344859545839444
Rod,Bc1,0.34397637746230664
Rod,Calb2,0.3247491183282402
Rod,Nefm,0.29103907724039835
Rod,Pde6b,0.2831384643626494
Rod,Ybx3,0.2785895222304994
Rod,Rp1,0.27250841349804233
Rod,Epb41,0.2724850424386584
Rod,Pde6a,0.272482381919443
Rod,Dmd,0.27012356439759566
Rod,Tmem108,0.2645413156607911
Rod,Pde6g,0.2605674135814678
Rod,Arr3,-0.547238036759071
Rod,Apoe,-0.5098926349437044
Rod,Opn1mw,-0.49549227565120146
Rod,Cdh18,-0.4741089134990452
Rod,Clu,-0.4162059661963716
Rod,Rgs7,-0.40934109490186943
Rod,Cngb3,-0.4038247204661538
Rod,Glul,-0.39764096373764324
Rod,Ptgds,-0.39042729571073276
Rod,Pde6h,-0.3900984704383267
Rod,Ttr,-0.3879809457401081
Rod,Gngt2,-0.38211632813819674
Rod,Grip1,-0.3629579259009779
Rod,Asic2,-0.35876055177519217
Rod,Mt1,-0.35823467579781565
Rod,Rlbp1,-0.35722092800548033
Rod,Basp1,-0.3454423367265625
Rod,Tenm2,-0.3429090317739658
Rod,Kcnip4,-0.3425503753453615
Rod,Otx2,-0.34197514667367807
