Name	Marker	Curated	Queried	Major_Name
AC16	Adarb2		Queried	AC
AC16	Car10		Queried	AC
AC16	Dab1		Queried	AC
AC16	Dlgap2		Queried	AC
AC16	Dpp6		Queried	AC
AC16	Gabrb3		Queried	AC
AC16	Galntl6		Queried	AC
AC16	Grm7		Queried	AC
AC16	Inpp4b		Queried	AC
AC16	Khdrbs3		Queried	AC
AC16	Nrg1_ensmusg00000062991		Queried	AC
AC16	Pcdh9		Queried	AC
AC16	Sct	Curated		AC
AC16	Sgcz		Queried	AC
AC16	Six3		Queried	AC
AC16	Tenm3		Queried	AC
AC16	Tfap2b		Queried	AC
AC16	Zfp804b		Queried	AC
AC17	Calb2		Queried	AC
AC17	Cdh18		Queried	AC
AC17	Col25a1		Queried	AC
AC17	Etl4		Queried	AC
AC17	Gng7	Curated		AC
AC17	Hecw1		Queried	AC
AC17	Hs3st5		Queried	AC
AC17	Igfbp7		Queried	AC
AC17	Isl1		Queried	AC
AC17	Kcnb2		Queried	AC
AC17	Megf11		Queried	AC
AC17	Pcp4		Queried	AC
AC17	Pcp4l1		Queried	AC
AC17	Rbfox1		Queried	AC
AC17	Rgs6		Queried	AC
AC17	Rims1		Queried	AC
AC17	Scg2		Queried	AC
AC17	Sox2ot		Queried	AC
AC17	Zmat4		Queried	AC
AC18	Brinp3		Queried	AC
AC18	Cbln2		Queried	AC
AC18	Celf2		Queried	AC
AC18	Cpne4	Curated	Queried	AC
AC18	Dmd		Queried	AC
AC18	Galntl6		Queried	AC
AC18	Hs6st3		Queried	AC
AC18	Il1rapl1		Queried	AC
AC18	Il1rapl2		Queried	AC
AC18	Kcnab1		Queried	AC
AC18	Negr1		Queried	AC
AC18	Nrg1_ensmusg00000062991		Queried	AC
AC18	Phactr1		Queried	AC
AC18	Ralyl		Queried	AC
AC18	Tmsb4x		Queried	AC
AC19	Adarb2		Queried	AC
AC19	Cabp1		Queried	AC
AC19	Cntnap2		Queried	AC
AC19	Col25a1		Queried	AC
AC19	Cpne8		Queried	AC
AC19	Dab1		Queried	AC
AC19	Efna5		Queried	AC
AC19	Hs6st3		Queried	AC
AC19	Khdrbs3		Queried	AC
AC19	Lhfp		Queried	AC
AC19	Nrg1_ensmusg00000062991		Queried	AC
AC19	Nxph2	Curated		AC
AC19	Pcdh15		Queried	AC
AC19	Prkg1		Queried	AC
AC19	Ptprk		Queried	AC
AC19	Tfap2b		Queried	AC
AC19	Wwox		Queried	AC
AC2	C1ql1		Queried	AC
AC2	Cntnap5a		Queried	AC
AC2	Crybb3	Curated		AC
AC2	Gabrg3		Queried	AC
AC2	Grm7		Queried	AC
AC2	Id4		Queried	AC
AC2	Kcna6		Queried	AC
AC2	Lhfp		Queried	AC
AC2	Maf		Queried	AC
AC2	Pcdh7		Queried	AC
AC2	Pex5l		Queried	AC
AC2	Ptn		Queried	AC
AC2	Ptprd		Queried	AC
AC2	Rbfox1		Queried	AC
AC2	Stxbp6		Queried	AC
AC20	Dpf3		Queried	AC
AC20	Gabrg3		Queried	AC
AC20	Gad1		Queried	AC
AC20	Grm8		Queried	AC
AC20	Gucy1a1		Queried	AC
AC20	Il1rapl2		Queried	AC
AC20	Lsamp		Queried	AC
AC20	Ncam2		Queried	AC
AC20	Nlgn1		Queried	AC
AC20	Pcdh7		Queried	AC
AC20	Pcdh9		Queried	AC
AC20	Pde10a		Queried	AC
AC20	Ralyl		Queried	AC
AC20	Sema3a	Curated		AC
AC20	Shisa8		Queried	AC
AC20	Tafa1		Queried	AC
AC20	Zfhx3		Queried	AC
AC20	Zmat4		Queried	AC
AC21	Ai593442		Queried	AC
AC21	C1ql1		Queried	AC
AC21	C1ql3		Queried	AC
AC21	Cntn5		Queried	AC
AC21	Cpne5		Queried	AC
AC21	Elavl2	Curated	Queried	AC
AC21	Lmo4		Queried	AC
AC21	Lrrc4c		Queried	AC
AC21	Ncam2		Queried	AC
AC21	Olfm3		Queried	AC
AC21	Pcdh9		Queried	AC
AC21	Robo1		Queried	AC
AC21	Scg2		Queried	AC
AC21	Snca		Queried	AC
AC21	Stmn2		Queried	AC
AC21	Tac1		Queried	AC
AC21	Tenm1		Queried	AC
AC22	C1ql1		Queried	AC
AC22	Cbln2		Queried	AC
AC22	Cbln4	Curated	Queried	AC
AC22	Csmd1		Queried	AC
AC22	Egfem1		Queried	AC
AC22	Erbb4		Queried	AC
AC22	Gabrb1		Queried	AC
AC22	Kirrel3		Queried	AC
AC22	Meis2		Queried	AC
AC22	Nfia		Queried	AC
AC22	Opcml		Queried	AC
AC22	Ralyl		Queried	AC
AC22	Rbfox1		Queried	AC
AC22	Rnf220		Queried	AC
AC22	Schip1		Queried	AC
