Cell,Subclass,Ensembl,Gene,Coefficient
RGC,15_Novel,ENSMUSG00000049775,Tmsb4x,0.6477470752828793
RGC,15_Novel,ENSMUSG00000021647,Cartpt,0.5930876094051083
RGC,15_Novel,ENSMUSG00000079042,Apela,0.5648665579969571
RGC,15_Novel,ENSMUSG00000047907,Tshz2,0.541169012699693
RGC,15_Novel,ENSMUSG00000020704,Asic2,0.5365291896704856
RGC,15_Novel,ENSMUSG00000057098,Ebf1,0.5362123157384242
RGC,15_Novel,ENSMUSG00000035299,Mid1,0.5241624969720485
RGC,15_Novel,ENSMUSG00000056296,Synpr,0.5190611222714789
RGC,15_Novel,ENSMUSG00000032564,Cpne4,0.4818416125554559
RGC,15_Novel,ENSMUSG00000014846,Tppp3,0.46334709870884416
RGC,15_Novel,ENSMUSG00000031561,Tenm3,0.44594200630980974
RGC,15_Novel,ENSMUSG00000027777,Schip1,0.4352628383314596
RGC,15_Novel,ENSMUSG00000059003,Grin2a,0.40605247146794254
RGC,15_Novel,ENSMUSG00000090223,Pcp4,-0.9497422161153883
RGC,15_Novel,ENSMUSG00000019888,Mgat4c,-0.8385275965983944
RGC,15_Novel,ENSMUSG00000022311,Csmd3,-0.814961129295826
RGC,15_Novel,ENSMUSG00000045083,Lingo2,-0.7640837769043217
RGC,15_Novel,ENSMUSG00000064293,Cntn4,-0.7540898155653466
RGC,15_Novel,ENSMUSG00000055421,Pcdh9,-0.7071774748248033
RGC,15_Novel,ENSMUSG00000025889,Snca,-0.6393107483656255
RGC,15_Novel,ENSMUSG00000059857,Ntng1,-0.6384387507067425
RGC,15_Novel,ENSMUSG00000066392,Nrxn3,-0.6031173014539298
RGC,15_Novel,ENSMUSG00000055409,Nell1,-0.5675148363261663
RGC,15_Novel,ENSMUSG00000060882,Kcnd2,-0.5643668413213687
RGC,15_Novel,ENSMUSG00000108532,Gm32647,-0.5607764663009367
RGC,15_Novel,ENSMUSG00000026527,Rgs7,-0.5544402865650384
RGC,15_Novel,ENSMUSG00000039539,Sgcz,-0.5423064211099184
RGC,15_Novel,ENSMUSG00000064115,Cadm2,-0.5265541083386814
RGC,15_Novel,ENSMUSG00000039488,Cntn5,-0.5179242437605811
RGC,15_Novel,ENSMUSG00000063887,Nlgn1,-0.5039550881686493
RGC,15_Novel,ENSMUSG00000055540,Epha6,-0.44969759206724796
RGC,15_Novel,ENSMUSG00000060924,Csmd1,-0.42994540459932196
RGC,15_Novel,ENSMUSG00000022636,Alcam,-0.42811480840810456
RGC,16_ooDS_DV,ENSMUSG00000021647,Cartpt,1.9112746343615432
RGC,16_ooDS_DV,ENSMUSG00000090223,Pcp4,0.8648834609717128
RGC,16_ooDS_DV,ENSMUSG00000078591,Hs3st4,0.8592143326285842
RGC,16_ooDS_DV,ENSMUSG00000039385,Cdh6,0.8274594902949268
RGC,16_ooDS_DV,ENSMUSG00000058897,Col25a1,0.7632874948011552
RGC,16_ooDS_DV,ENSMUSG00000034755,Pcdh11x,0.7022066493202628
RGC,16_ooDS_DV,ENSMUSG00000050711,Scg2,0.6873574549680179
RGC,16_ooDS_DV,ENSMUSG00000059187,Tafa1,0.5613687494093919
RGC,16_ooDS_DV,ENSMUSG00000039717,Ralyl,0.5491457627529939
RGC,16_ooDS_DV,ENSMUSG00000039488,Cntn5,0.539281506828696
RGC,16_ooDS_DV,ENSMUSG00000038530,Rgs4,0.5203689649411168
RGC,16_ooDS_DV,ENSMUSG00000021680,Crhbp,0.5076997439290447
RGC,16_ooDS_DV,ENSMUSG00000025867,Cplx2,0.5004367261051534
RGC,16_ooDS_DV,ENSMUSG00000062257,Opcml,0.4107209898681026
RGC,16_ooDS_DV,ENSMUSG00000029544,Cabp1,0.392555185273169
RGC,16_ooDS_DV,ENSMUSG00000064293,Cntn4,0.3783718187843095
RGC,16_ooDS_DV,ENSMUSG00000039114,Nrn1,0.3782030672326401
RGC,16_ooDS_DV,ENSMUSG00000048978,Nrsn1,0.3680128091870614
RGC,16_ooDS_DV,ENSMUSG00000049336,Tenm2,0.36519805247985815
RGC,16_ooDS_DV,ENSMUSG00000019194,Scn1b,0.3543099128987738
RGC,16_ooDS_DV,ENSMUSG00000019888,Mgat4c,-0.6231659550812577
RGC,16_ooDS_DV,ENSMUSG00000028832,Stmn1,-0.5987439951949963
RGC,16_ooDS_DV,ENSMUSG00000060882,Kcnd2,-0.5762170678063755
RGC,16_ooDS_DV,ENSMUSG00000074968,Ano3,-0.5361168968065899
RGC,16_ooDS_DV,ENSMUSG00000096914,Galntl6,-0.5255296183142317
RGC,16_ooDS_DV,ENSMUSG00000060371,Caln1,-0.5165367803403376
RGC,16_ooDS_DV,ENSMUSG00000025889,Snca,-0.47389515266257043
RGC,16_ooDS_DV,ENSMUSG00000092341,Malat1,-0.4553656094789705
RGC,16_ooDS_DV,ENSMUSG00000026163,Sphkap,-0.45103740870620096
RGC,16_ooDS_DV,ENSMUSG00000029088,Kcnip4,-0.4477069649160365
RGC,16_ooDS_DV,ENSMUSG00000037653,Kctd8,-0.440233892615205
RGC,16_ooDS_DV,ENSMUSG00000092094,Zfp804b,-0.43495279754322036
RGC,16_ooDS_DV,ENSMUSG00000036815,Dpp10,-0.40127370626769837
RGC,16_ooDS_DV,ENSMUSG00000022762,Ncam2,-0.3765419193702281
RGC,16_ooDS_DV,ENSMUSG00000021087,Rtn1,-0.3683331897178274
RGC,16_ooDS_DV,ENSMUSG00000059974,Ntm,-0.36481873774947804
RGC,16_ooDS_DV,ENSMUSG00000043531,Sorcs1,-0.35661751180568096
RGC,16_ooDS_DV,ENSMUSG00000027523,Gnas,-0.3561255254476486
RGC,16_ooDS_DV,ENSMUSG00000050587,Lrrc4c,-0.3505116770619492
RGC,16_ooDS_DV,ENSMUSG00000049252,Lrp1b,-0.340145915550555
RGC,17_Tbr1_S1,ENSMUSG00000027210,Meis2,1.2804728207814484
RGC,17_Tbr1_S1,ENSMUSG00000053310,Nrgn,1.2336340496297766
RGC,17_Tbr1_S1,ENSMUSG00000050587,Lrrc4c,1.059118781583354
RGC,17_Tbr1_S1,ENSMUSG00000090223,Pcp4,0.9719925596459326
RGC,17_Tbr1_S1,ENSMUSG00000059857,Ntng1,0.8694243214159747
RGC,17_Tbr1_S1,ENSMUSG00000078591,Hs3st4,0.8205409546504093
RGC,17_Tbr1_S1,ENSMUSG00000037940,Inpp4b,0.7875898136099624
RGC,17_Tbr1_S1,ENSMUSG00000069372,Ctxn3,0.7401540444915641
RGC,17_Tbr1_S1,ENSMUSG00000070695,Cntnap5a,0.7088864786003952
RGC,17_Tbr1_S1,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.6756110898819777
RGC,17_Tbr1_S1,ENSMUSG00000075334,Rprm,0.6631294790583839
RGC,17_Tbr1_S1,ENSMUSG00000032036,Kirrel3,0.5996815628817226
RGC,17_Tbr1_S1,ENSMUSG00000060534,Dcc,0.5686281794330419
RGC,17_Tbr1_S1,ENSMUSG00000021680,Crhbp,0.5658174141794422
RGC,17_Tbr1_S1,ENSMUSG00000027533,Fabp5,0.5450242599043713
RGC,17_Tbr1_S1,ENSMUSG00000057098,Ebf1,0.5436682927888091
RGC,17_Tbr1_S1,ENSMUSG00000009734,Pou6f2,0.513500884601591
RGC,17_Tbr1_S1,ENSMUSG00000060924,Csmd1,0.5009706759490983
RGC,17_Tbr1_S1,ENSMUSG00000038530,Rgs4,0.4862692774646269
RGC,17_Tbr1_S1,ENSMUSG00000040420,Cdh18,0.4798907202901119
RGC,17_Tbr1_S1,ENSMUSG00000049252,Lrp1b,-0.858530288299126
RGC,17_Tbr1_S1,ENSMUSG00000055026,Gabrg3,-0.7393761332396284
RGC,17_Tbr1_S1,ENSMUSG00000032564,Cpne4,-0.6565812572682762
RGC,17_Tbr1_S1,ENSMUSG00000029088,Kcnip4,-0.6271237898868135
